impl,kernel,batch,seq,n_q,n_kv,d_head,iter,gpu_ms,tflops
cublas-attn-gqa,QKt,1,128,4,2,64,0,0.055040,0.000000
cublas-attn-gqa,softmax,1,128,4,2,64,0,0.023296,0.000000
cublas-attn-gqa,PV,1,128,4,2,64,0,0.027936,0.000000
cublas-attn-gqa,total,1,128,4,2,64,0,0.106272,0.157871
cublas-attn-gqa,QKt,1,128,4,2,64,1,0.030656,0.000000
cublas-attn-gqa,softmax,1,128,4,2,64,1,0.004128,0.000000
cublas-attn-gqa,PV,1,128,4,2,64,1,0.045312,0.000000
cublas-attn-gqa,total,1,128,4,2,64,1,0.080096,0.209464
cublas-attn-gqa,QKt,1,128,4,2,64,2,0.044352,0.000000
cublas-attn-gqa,softmax,1,128,4,2,64,2,0.004896,0.000000
cublas-attn-gqa,PV,1,128,4,2,64,2,0.018400,0.000000
cublas-attn-gqa,total,1,128,4,2,64,2,0.067648,0.248008
cublas-attn-gqa,QKt,1,2048,32,8,128,0,0.539488,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,0,0.509280,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,0,0.811424,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,0,1.860192,36.942141
cublas-attn-gqa,QKt,1,2048,32,8,128,1,0.603744,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,1,0.511488,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,1,0.640512,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,1,1.755744,39.139805
cublas-attn-gqa,QKt,1,2048,32,8,128,2,0.491104,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,2,0.504608,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,2,0.838880,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,2,1.834592,37.457635
cublas-attn-gqa,QKt,1,2048,32,8,128,3,0.472736,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,3,0.503008,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,3,0.598464,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,3,1.574208,43.653365
cublas-attn-gqa,QKt,1,2048,32,8,128,4,0.551328,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,4,0.500640,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,4,0.484800,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,4,1.536768,44.716885
cublas-attn-gqa,QKt,1,2048,32,8,128,5,0.501120,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,5,0.503296,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,5,0.543232,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,5,1.547648,44.402525
cublas-attn-gqa,QKt,1,2048,32,8,128,6,0.488672,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,6,0.504064,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,6,0.488928,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,6,1.481664,46.379935
cublas-attn-gqa,QKt,1,2048,32,8,128,7,0.475104,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,7,0.509344,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,7,0.559136,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,7,1.543584,44.519432
cublas-attn-gqa,QKt,1,2048,32,8,128,8,0.475040,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,8,0.501536,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,8,0.617984,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,8,1.594560,43.096203
cublas-attn-gqa,QKt,1,2048,32,8,128,9,0.516896,0.000000
cublas-attn-gqa,softmax,1,2048,32,8,128,9,0.502784,0.000000
cublas-attn-gqa,PV,1,2048,32,8,128,9,0.616896,0.000000
cublas-attn-gqa,total,1,2048,32,8,128,9,1.636576,41.989788
