impl,kernel,N,iter,gpu_ms,tflops
cublas-matmul,sgemm,1024,0,0.078752,27.268940
cublas-matmul,sgemm,1024,1,0.056256,38.173415
cublas-matmul,sgemm,1024,2,0.059616,36.021935
cublas-matmul,sgemm,1024,3,0.056928,37.722801
cublas-matmul,sgemm,1024,4,0.056832,37.786522
cublas-matmul,sgemm,1024,5,0.056416,38.065152
cublas-matmul,sgemm,1024,6,0.056320,38.130036
cublas-matmul,sgemm,1024,7,0.056576,37.957503
cublas-matmul,sgemm,1024,8,0.057888,37.097215
cublas-matmul,sgemm,1024,9,0.056480,38.022018
cublas-matmul,sgemm,2048,0,0.305664,56.205078
cublas-matmul,sgemm,2048,1,0.288640,59.520058
cublas-matmul,sgemm,2048,2,0.279392,61.490196
cublas-matmul,sgemm,2048,3,0.265280,64.761266
cublas-matmul,sgemm,2048,4,0.266176,64.543273
cublas-matmul,sgemm,2048,5,0.265920,64.605401
cublas-matmul,sgemm,2048,6,0.268928,63.882785
cublas-matmul,sgemm,2048,7,0.267744,64.165281
cublas-matmul,sgemm,2048,8,0.265984,64.589860
cublas-matmul,sgemm,2048,9,0.269376,63.776537
cublas-matmul,sgemm,4096,0,1.902016,72.259618
cublas-matmul,sgemm,4096,1,2.148640,63.965559
cublas-matmul,sgemm,4096,2,1.867680,73.588065
cublas-matmul,sgemm,4096,3,1.907968,72.034201
cublas-matmul,sgemm,4096,4,1.887232,72.825682
cublas-matmul,sgemm,4096,5,1.885760,72.882529
cublas-matmul,sgemm,4096,6,2.715616,50.610600
cublas-matmul,sgemm,4096,7,1.892192,72.634782
cublas-matmul,sgemm,4096,8,1.910656,71.932862
cublas-matmul,sgemm,4096,9,1.882944,72.991525
