impl,kernel,shape,batch,n_heads,d_k,d_v,block_v,n_blocks,iter,gpu_ms,gbps,gflops
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,0,0.016672,505.125,377.367
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,1,0.015232,552.878,413.042
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,2,0.008160,1032.039,771.012
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,3,0.008288,1016.100,759.104
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,4,0.008800,956.982,714.938
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,5,0.008320,1012.192,756.185
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,6,0.008896,946.655,707.223
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,7,0.009312,904.364,675.629
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,8,0.009088,926.655,692.282
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,9,0.008384,1004.466,750.412
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,10,0.008896,946.655,707.223
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,11,0.008800,956.982,714.938
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,12,0.008992,936.548,699.673
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,13,0.008160,1032.039,771.012
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,14,0.008608,978.327,730.885
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,15,0.008160,1032.039,771.012
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,16,0.008768,960.474,717.547
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,17,0.008576,981.978,733.612
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,18,0.008320,1012.192,756.185
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,19,0.008608,978.327,730.885
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,20,0.009056,929.929,694.728
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,21,0.008256,1020.039,762.047
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,22,0.008672,971.107,725.491
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,23,0.009120,923.404,689.853
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,24,0.008480,993.094,741.917
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,25,0.009088,926.655,692.282
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,26,0.008960,939.893,702.171
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,27,0.008384,1004.466,750.412
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,28,0.008992,936.548,699.673
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,29,0.008832,953.514,712.348
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,30,0.008256,1020.039,762.047
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,31,0.008960,939.893,702.171
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,32,0.015008,561.130,419.207
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,33,0.009056,929.929,694.728
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,34,0.009632,874.319,653.183
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,35,0.008576,981.978,733.612
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,36,0.008928,943.262,704.688
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,37,0.008384,1004.466,750.412
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,38,0.008480,993.094,741.917
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,39,0.008768,960.474,717.547
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,40,0.008352,1008.314,753.287
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,41,0.009056,929.929,694.728
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,42,0.008992,936.548,699.673
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,43,0.008704,967.537,722.824
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,44,0.008864,950.072,709.776
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,45,0.008832,953.514,712.348
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,46,0.008608,978.327,730.885
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,47,0.009120,923.404,689.853
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,48,0.008544,985.655,736.360
cuda-attn-gdn-tma,gdn_decode_tma,qwen3_next_decode,1,16,256,256,64,64,49,0.008736,963.993,720.176
