impl,kernel,batch,n_heads,d_k,d_v,iter,gpu_ms,gbps
cuda-attn-kda,kda_decode_fused,1,32,128,128,0,0.011744,360.638
cuda-attn-kda,kda_decode_fused,1,32,128,128,1,0.012544,337.638
cuda-attn-kda,kda_decode_fused,1,32,128,128,2,0.012768,331.714
cuda-attn-kda,kda_decode_fused,1,32,128,128,3,0.011776,359.658
cuda-attn-kda,kda_decode_fused,1,32,128,128,4,0.012192,347.386
cuda-attn-kda,kda_decode_fused,1,32,128,128,5,0.012416,341.119
cuda-attn-kda,kda_decode_fused,1,32,128,128,6,0.012256,345.572
cuda-attn-kda,kda_decode_fused,1,32,128,128,7,0.012576,336.779
cuda-attn-kda,kda_decode_fused,1,32,128,128,8,0.013216,320.470
cuda-attn-kda,kda_decode_fused,1,32,128,128,9,0.012736,332.548
cuda-attn-kda,kda_decode_fused,1,32,128,128,10,0.012640,335.073
cuda-attn-kda,kda_decode_fused,1,32,128,128,11,0.013408,315.881
cuda-attn-kda,kda_decode_fused,1,32,128,128,12,0.011744,360.638
cuda-attn-kda,kda_decode_fused,1,32,128,128,13,0.012384,342.000
cuda-attn-kda,kda_decode_fused,1,32,128,128,14,0.012928,327.609
cuda-attn-kda,kda_decode_fused,1,32,128,128,15,0.012320,343.777
cuda-attn-kda,kda_decode_fused,1,32,128,128,16,0.012384,342.000
cuda-attn-kda,kda_decode_fused,1,32,128,128,17,0.011808,358.683
cuda-attn-kda,kda_decode_fused,1,32,128,128,18,0.013312,318.159
cuda-attn-kda,kda_decode_fused,1,32,128,128,19,0.012448,340.242
cuda-attn-kda,kda_decode_fused,1,32,128,128,20,0.012864,329.239
cuda-attn-kda,kda_decode_fused,1,32,128,128,21,0.014368,294.775
cuda-attn-kda,kda_decode_fused,1,32,128,128,22,0.012512,338.501
cuda-attn-kda,kda_decode_fused,1,32,128,128,23,0.012672,334.227
cuda-attn-kda,kda_decode_fused,1,32,128,128,24,0.012256,345.572
cuda-attn-kda,kda_decode_fused,1,32,128,128,25,0.013792,307.086
cuda-attn-kda,kda_decode_fused,1,32,128,128,26,0.012160,348.300
cuda-attn-kda,kda_decode_fused,1,32,128,128,27,0.012320,343.777
cuda-attn-kda,kda_decode_fused,1,32,128,128,28,0.012448,340.242
cuda-attn-kda,kda_decode_fused,1,32,128,128,29,0.012352,342.886
cuda-attn-kda,kda_decode_fused,1,32,128,128,30,0.012512,338.501
cuda-attn-kda,kda_decode_fused,1,32,128,128,31,0.012384,342.000
cuda-attn-kda,kda_decode_fused,1,32,128,128,32,0.012576,336.779
cuda-attn-kda,kda_decode_fused,1,32,128,128,33,0.012832,330.060
cuda-attn-kda,kda_decode_fused,1,32,128,128,34,0.011936,354.836
cuda-attn-kda,kda_decode_fused,1,32,128,128,35,0.011968,353.888
cuda-attn-kda,kda_decode_fused,1,32,128,128,36,0.012512,338.501
cuda-attn-kda,kda_decode_fused,1,32,128,128,37,0.012192,347.386
cuda-attn-kda,kda_decode_fused,1,32,128,128,38,0.012096,350.143
cuda-attn-kda,kda_decode_fused,1,32,128,128,39,0.012384,342.000
cuda-attn-kda,kda_decode_fused,1,32,128,128,40,0.012416,341.119
cuda-attn-kda,kda_decode_fused,1,32,128,128,41,0.012448,340.242
cuda-attn-kda,kda_decode_fused,1,32,128,128,42,0.012256,345.572
cuda-attn-kda,kda_decode_fused,1,32,128,128,43,0.012608,335.924
cuda-attn-kda,kda_decode_fused,1,32,128,128,44,0.013600,311.421
cuda-attn-kda,kda_decode_fused,1,32,128,128,45,0.012640,335.073
cuda-attn-kda,kda_decode_fused,1,32,128,128,46,0.012000,352.944
cuda-attn-kda,kda_decode_fused,1,32,128,128,47,0.012736,332.548
cuda-attn-kda,kda_decode_fused,1,32,128,128,48,0.013728,308.517
cuda-attn-kda,kda_decode_fused,1,32,128,128,49,0.012192,347.386
