impl,kernel,batch,n_heads,d_k,d_v,iter,gpu_ms,gbps
cuda-attn-kda,kda_decode_fused,4,64,256,256,0,0.241184,559.215
cuda-attn-kda,kda_decode_fused,4,64,256,256,1,0.245152,550.163
cuda-attn-kda,kda_decode_fused,4,64,256,256,2,0.248320,543.144
cuda-attn-kda,kda_decode_fused,4,64,256,256,3,0.241312,558.918
cuda-attn-kda,kda_decode_fused,4,64,256,256,4,0.243136,554.725
cuda-attn-kda,kda_decode_fused,4,64,256,256,5,0.242272,556.703
cuda-attn-kda,kda_decode_fused,4,64,256,256,6,0.242528,556.116
cuda-attn-kda,kda_decode_fused,4,64,256,256,7,0.242016,557.292
cuda-attn-kda,kda_decode_fused,4,64,256,256,8,0.241920,557.513
cuda-attn-kda,kda_decode_fused,4,64,256,256,9,0.241664,558.104
cuda-attn-kda,kda_decode_fused,4,64,256,256,10,0.247328,545.323
cuda-attn-kda,kda_decode_fused,4,64,256,256,11,0.244576,551.459
cuda-attn-kda,kda_decode_fused,4,64,256,256,12,0.237664,567.497
cuda-attn-kda,kda_decode_fused,4,64,256,256,13,0.242048,557.218
cuda-attn-kda,kda_decode_fused,4,64,256,256,14,0.240160,561.599
cuda-attn-kda,kda_decode_fused,4,64,256,256,15,0.237280,568.415
cuda-attn-kda,kda_decode_fused,4,64,256,256,16,0.241952,557.439
cuda-attn-kda,kda_decode_fused,4,64,256,256,17,0.242080,557.145
cuda-attn-kda,kda_decode_fused,4,64,256,256,18,0.242144,556.997
cuda-attn-kda,kda_decode_fused,4,64,256,256,19,0.242560,556.042
cuda-attn-kda,kda_decode_fused,4,64,256,256,20,0.241344,558.844
cuda-attn-kda,kda_decode_fused,4,64,256,256,21,0.242432,556.336
cuda-attn-kda,kda_decode_fused,4,64,256,256,22,0.241024,559.586
cuda-attn-kda,kda_decode_fused,4,64,256,256,23,0.241504,558.474
cuda-attn-kda,kda_decode_fused,4,64,256,256,24,0.241696,558.030
cuda-attn-kda,kda_decode_fused,4,64,256,256,25,0.241888,557.587
cuda-attn-kda,kda_decode_fused,4,64,256,256,26,0.241856,557.661
cuda-attn-kda,kda_decode_fused,4,64,256,256,27,0.241920,557.513
cuda-attn-kda,kda_decode_fused,4,64,256,256,28,0.241856,557.661
cuda-attn-kda,kda_decode_fused,4,64,256,256,29,0.241696,558.030
cuda-attn-kda,kda_decode_fused,4,64,256,256,30,0.242080,557.145
cuda-attn-kda,kda_decode_fused,4,64,256,256,31,0.242752,555.602
cuda-attn-kda,kda_decode_fused,4,64,256,256,32,0.241376,558.770
cuda-attn-kda,kda_decode_fused,4,64,256,256,33,0.239520,563.100
cuda-attn-kda,kda_decode_fused,4,64,256,256,34,0.240384,561.076
cuda-attn-kda,kda_decode_fused,4,64,256,256,35,0.242016,557.292
cuda-attn-kda,kda_decode_fused,4,64,256,256,36,0.237696,567.421
cuda-attn-kda,kda_decode_fused,4,64,256,256,37,0.241408,558.696
cuda-attn-kda,kda_decode_fused,4,64,256,256,38,0.241600,558.252
cuda-attn-kda,kda_decode_fused,4,64,256,256,39,0.242880,555.310
cuda-attn-kda,kda_decode_fused,4,64,256,256,40,0.243264,554.433
cuda-attn-kda,kda_decode_fused,4,64,256,256,41,0.241184,559.215
cuda-attn-kda,kda_decode_fused,4,64,256,256,42,0.242464,556.262
cuda-attn-kda,kda_decode_fused,4,64,256,256,43,0.242176,556.924
cuda-attn-kda,kda_decode_fused,4,64,256,256,44,0.242016,557.292
cuda-attn-kda,kda_decode_fused,4,64,256,256,45,0.241984,557.366
cuda-attn-kda,kda_decode_fused,4,64,256,256,46,0.241984,557.366
cuda-attn-kda,kda_decode_fused,4,64,256,256,47,0.241536,558.400
cuda-attn-kda,kda_decode_fused,4,64,256,256,48,0.242560,556.042
cuda-attn-kda,kda_decode_fused,4,64,256,256,49,0.241536,558.400
