impl,kernel,N,iter,gpu_ms,tflops
cuda-tiled,matmul_tiled,1024,0,0.135168,15.887515
cuda-tiled,matmul_tiled,1024,1,0.094112,22.818383
cuda-tiled,matmul_tiled,1024,2,0.089088,24.105195
cuda-tiled,matmul_tiled,1024,3,0.086848,24.726922
cuda-tiled,matmul_tiled,1024,4,0.087776,24.465500
cuda-tiled,matmul_tiled,1024,5,0.085600,25.087425
cuda-tiled,matmul_tiled,1024,6,0.084064,25.545818
cuda-tiled,matmul_tiled,1024,7,0.085280,25.181562
cuda-tiled,matmul_tiled,1024,8,0.084416,25.439296
cuda-tiled,matmul_tiled,1024,9,0.088928,24.148566
cuda-tiled,matmul_tiled,2048,0,0.513824,33.435320
cuda-tiled,matmul_tiled,2048,1,0.501376,34.265442
cuda-tiled,matmul_tiled,2048,2,0.505440,33.989928
cuda-tiled,matmul_tiled,2048,3,0.500384,34.333372
cuda-tiled,matmul_tiled,2048,4,0.503104,34.147751
cuda-tiled,matmul_tiled,2048,5,1.441248,11.920133
cuda-tiled,matmul_tiled,2048,6,0.996864,17.233914
cuda-tiled,matmul_tiled,2048,7,0.519008,33.101358
cuda-tiled,matmul_tiled,2048,8,0.506752,33.901926
cuda-tiled,matmul_tiled,2048,9,0.784704,21.893438
cuda-tiled,matmul_tiled,4096,0,5.392768,25.485791
cuda-tiled,matmul_tiled,4096,1,3.638720,37.771236
cuda-tiled,matmul_tiled,4096,2,5.176256,26.551807
cuda-tiled,matmul_tiled,4096,3,4.906400,28.012178
cuda-tiled,matmul_tiled,4096,4,3.853472,35.666265
cuda-tiled,matmul_tiled,4096,5,4.896544,28.068563
cuda-tiled,matmul_tiled,4096,6,5.101440,26.941208
cuda-tiled,matmul_tiled,4096,7,4.228032,32.506601
cuda-tiled,matmul_tiled,4096,8,4.225824,32.523588
cuda-tiled,matmul_tiled,4096,9,4.601184,29.870346
