impl,kernel,N,iter,gpu_ms,tflops
cuda-matmul,matmul,1024,0,0.315520,6.806173
cuda-matmul,matmul,1024,1,0.309408,6.940621
cuda-matmul,matmul,1024,2,0.308928,6.951405
cuda-matmul,matmul,1024,3,0.310176,6.923436
cuda-matmul,matmul,1024,4,0.310240,6.922008
cuda-matmul,matmul,1024,5,0.311136,6.902074
cuda-matmul,matmul,1024,6,0.312160,6.879433
cuda-matmul,matmul,1024,7,0.324704,6.613666
cuda-matmul,matmul,1024,8,0.312640,6.868870
cuda-matmul,matmul,1024,9,0.312960,6.861847
cuda-matmul,matmul,2048,0,2.714176,6.329681
cuda-matmul,matmul,2048,1,3.193152,5.380223
cuda-matmul,matmul,2048,2,2.714976,6.327816
cuda-matmul,matmul,2048,3,3.179744,5.402910
cuda-matmul,matmul,2048,4,2.706080,6.348618
cuda-matmul,matmul,2048,5,3.199072,5.370267
cuda-matmul,matmul,2048,6,2.331136,7.369741
cuda-matmul,matmul,2048,7,2.319520,7.406648
cuda-matmul,matmul,2048,8,3.644032,4.714522
cuda-matmul,matmul,2048,9,2.341184,7.338112
cuda-matmul,matmul,4096,0,22.159456,6.202271
cuda-matmul,matmul,4096,1,25.179424,5.458383
cuda-matmul,matmul,4096,2,22.465311,6.117830
cuda-matmul,matmul,4096,3,22.057152,6.231038
cuda-matmul,matmul,4096,4,22.580065,6.086739
cuda-matmul,matmul,4096,5,20.954784,6.558834
cuda-matmul,matmul,4096,6,20.350529,6.753581
cuda-matmul,matmul,4096,7,19.423328,7.075973
cuda-matmul,matmul,4096,8,19.529663,7.037446
cuda-matmul,matmul,4096,9,20.288799,6.774129
