impl,kernel,N_elems,iter,gpu_ms,GB_per_s
cuda,reduce_sum,1048576,0,0.015328,273.636738
cuda,reduce_sum,1048576,1,0.008992,466.448422
cuda,reduce_sum,1048576,2,0.014208,295.207204
cuda,reduce_sum,1048576,3,0.008608,487.256486
cuda,reduce_sum,1048576,4,0.014784,283.705630
cuda,reduce_sum,1048576,5,0.009728,431.157914
cuda,reduce_sum,1048576,6,0.029856,140.484458
cuda,reduce_sum,1048576,7,0.009216,455.111095
cuda,reduce_sum,1048576,8,0.014240,294.543812
cuda,reduce_sum,1048576,9,0.014688,285.559911
cuda,reduce_sum,16777216,0,0.023776,2822.546390
cuda,reduce_sum,16777216,1,0.016896,3971.878757
cuda,reduce_sum,16777216,2,0.037280,1800.130436
cuda,reduce_sum,16777216,3,0.016064,4177.593786
cuda,reduce_sum,16777216,4,0.016032,4185.932360
cuda,reduce_sum,16777216,5,0.015488,4332.958774
cuda,reduce_sum,16777216,6,0.033248,2018.433118
cuda,reduce_sum,16777216,7,0.016512,4064.248291
cuda,reduce_sum,16777216,8,0.016960,3956.890422
cuda,reduce_sum,16777216,9,0.021824,3075.002876
cuda,reduce_sum,268435456,0,0.707168,1518.368831
cuda,reduce_sum,268435456,1,0.705536,1521.880970
cuda,reduce_sum,268435456,2,0.709280,1513.847568
cuda,reduce_sum,268435456,3,0.712768,1506.439398
cuda,reduce_sum,268435456,4,0.713632,1504.615604
cuda,reduce_sum,268435456,5,0.716480,1498.634713
cuda,reduce_sum,268435456,6,0.708320,1515.899299
cuda,reduce_sum,268435456,7,0.712224,1507.590047
cuda,reduce_sum,268435456,8,0.712128,1507.793330
cuda,reduce_sum,268435456,9,0.707008,1518.712402
