impl,kernel,N_elems,iter,gpu_ms,GB_per_s
cuda,vecadd,1048576,0,0.005472,2299.508678
cuda,vecadd,1048576,1,0.005344,2354.586747
cuda,vecadd,1048576,2,0.005280,2383.127202
cuda,vecadd,1048576,3,0.004128,3048.186218
cuda,vecadd,1048576,4,0.004160,3024.738453
cuda,vecadd,1048576,5,0.012064,1043.013292
cuda,vecadd,1048576,6,0.005824,2160.527432
cuda,vecadd,1048576,7,0.005312,2368.771113
cuda,vecadd,1048576,8,0.005568,2259.862060
cuda,vecadd,1048576,9,0.004320,2912.711224
cuda,vecadd,16777216,0,0.108576,1854.245805
cuda,vecadd,16777216,1,0.100480,2003.648454
cuda,vecadd,16777216,2,0.110560,1820.971347
cuda,vecadd,16777216,3,0.108000,1864.135063
cuda,vecadd,16777216,4,0.108448,1856.434368
cuda,vecadd,16777216,5,0.114304,1761.325889
cuda,vecadd,16777216,6,0.110848,1816.240150
cuda,vecadd,16777216,7,0.113088,1780.264905
cuda,vecadd,16777216,8,0.115008,1750.544293
cuda,vecadd,16777216,9,0.117696,1710.564406
cuda,vecadd,67108864,0,0.504544,1596.107250
cuda,vecadd,67108864,1,0.510240,1578.289313
cuda,vecadd,67108864,2,0.511968,1572.962259
cuda,vecadd,67108864,3,0.598816,1344.831130
cuda,vecadd,67108864,4,0.516256,1559.897429
cuda,vecadd,67108864,5,0.512416,1571.587070
cuda,vecadd,67108864,6,0.508928,1582.358146
cuda,vecadd,67108864,7,0.512384,1571.685244
cuda,vecadd,67108864,8,0.516768,1558.351913
cuda,vecadd,67108864,9,0.839456,959.319306
cuda,vecadd,268435456,0,2.057056,1565.939649
cuda,vecadd,268435456,1,2.288992,1407.268166
cuda,vecadd,268435456,2,2.373056,1357.416580
cuda,vecadd,268435456,3,2.298784,1401.273650
cuda,vecadd,268435456,4,2.749216,1171.688721
cuda,vecadd,268435456,5,2.054976,1567.524630
cuda,vecadd,268435456,6,2.543776,1266.316463
cuda,vecadd,268435456,7,2.039776,1579.205430
cuda,vecadd,268435456,8,2.057888,1565.306481
cuda,vecadd,268435456,9,2.459520,1309.696745
