impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,70.432,119.568,0.089327
cutile,gdn_decode_fused,1,16,256,256,64,1,15.328,549.415,0.410455
cutile,gdn_decode_fused,1,16,256,256,64,2,68.640,122.690,0.091659
cutile,gdn_decode_fused,1,16,256,256,64,3,15.648,538.180,0.402061
cutile,gdn_decode_fused,1,16,256,256,64,4,15.328,549.415,0.410455
cutile,gdn_decode_fused,1,16,256,256,64,5,14.944,563.533,0.421002
cutile,gdn_decode_fused,1,16,256,256,64,6,74.240,113.435,0.084745
cutile,gdn_decode_fused,1,16,256,256,64,7,14.368,586.125,0.437880
cutile,gdn_decode_fused,1,16,256,256,64,8,15.136,556.385,0.415662
cutile,gdn_decode_fused,1,16,256,256,64,9,14.944,563.533,0.421002
cutile,gdn_decode_fused,1,16,256,256,64,10,113.696,74.070,0.055336
cutile,gdn_decode_fused,1,16,256,256,64,11,15.264,551.719,0.412176
cutile,gdn_decode_fused,1,16,256,256,64,12,14.944,563.533,0.421002
cutile,gdn_decode_fused,1,16,256,256,64,13,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,14,70.944,118.705,0.088682
cutile,gdn_decode_fused,1,16,256,256,64,15,16.320,516.020,0.385506
cutile,gdn_decode_fused,1,16,256,256,64,16,15.520,542.619,0.405377
cutile,gdn_decode_fused,1,16,256,256,64,17,16.224,519.073,0.387787
cutile,gdn_decode_fused,1,16,256,256,64,18,53.056,158.727,0.118581
cutile,gdn_decode_fused,1,16,256,256,64,19,14.656,574.607,0.429275
cutile,gdn_decode_fused,1,16,256,256,64,20,15.008,561.130,0.419207
cutile,gdn_decode_fused,1,16,256,256,64,21,22.080,381.406,0.284939
cutile,gdn_decode_fused,1,16,256,256,64,22,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,23,68.640,122.690,0.091659
cutile,gdn_decode_fused,1,16,256,256,64,24,14.752,570.868,0.426482
cutile,gdn_decode_fused,1,16,256,256,64,25,37.600,223.974,0.167326
cutile,gdn_decode_fused,1,16,256,256,64,26,16.000,526.340,0.393216
cutile,gdn_decode_fused,1,16,256,256,64,27,15.104,557.564,0.416542
cutile,gdn_decode_fused,1,16,256,256,64,28,14.400,584.822,0.436907
cutile,gdn_decode_fused,1,16,256,256,64,29,78.016,107.945,0.080643
cutile,gdn_decode_fused,1,16,256,256,64,30,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,31,14.880,565.957,0.422813
cutile,gdn_decode_fused,1,16,256,256,64,32,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,33,65.536,128.501,0.096000
cutile,gdn_decode_fused,1,16,256,256,64,34,15.680,537.082,0.401241
cutile,gdn_decode_fused,1,16,256,256,64,35,29.696,283.588,0.211862
cutile,gdn_decode_fused,1,16,256,256,64,36,33.536,251.116,0.187603
cutile,gdn_decode_fused,1,16,256,256,64,37,16.448,512.004,0.382506
cutile,gdn_decode_fused,1,16,256,256,64,38,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,39,15.040,559.936,0.418315
cutile,gdn_decode_fused,1,16,256,256,64,40,52.544,160.274,0.119737
cutile,gdn_decode_fused,1,16,256,256,64,41,14.560,578.396,0.432105
cutile,gdn_decode_fused,1,16,256,256,64,42,14.464,582.235,0.434973
cutile,gdn_decode_fused,1,16,256,256,64,43,15.264,551.719,0.412176
cutile,gdn_decode_fused,1,16,256,256,64,44,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,45,14.400,584.822,0.436907
cutile,gdn_decode_fused,1,16,256,256,64,46,42.144,199.825,0.149285
cutile,gdn_decode_fused,1,16,256,256,64,47,15.936,528.454,0.394795
cutile,gdn_decode_fused,1,16,256,256,64,48,14.976,562.329,0.420103
cutile,gdn_decode_fused,1,16,256,256,64,49,13.824,609.190,0.455111
