impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,68.224,123.438,0.092218
cutile,gdn_decode_fused,1,16,256,256,64,1,11.616,724.986,0.541620
cutile,gdn_decode_fused,1,16,256,256,64,2,11.456,735.112,0.549184
cutile,gdn_decode_fused,1,16,256,256,64,3,10.656,790.300,0.590414
cutile,gdn_decode_fused,1,16,256,256,64,4,49.216,171.112,0.127834
cutile,gdn_decode_fused,1,16,256,256,64,5,10.720,785.582,0.586890
cutile,gdn_decode_fused,1,16,256,256,64,6,28.736,293.062,0.218940
cutile,gdn_decode_fused,1,16,256,256,64,7,65.696,128.188,0.095766
cutile,gdn_decode_fused,1,16,256,256,64,8,12.128,694.380,0.518755
cutile,gdn_decode_fused,1,16,256,256,64,9,11.072,760.607,0.568231
cutile,gdn_decode_fused,1,16,256,256,64,10,10.272,819.844,0.612486
cutile,gdn_decode_fused,1,16,256,256,64,11,18.496,455.311,0.340152
cutile,gdn_decode_fused,1,16,256,256,64,12,24.544,343.116,0.256334
cutile,gdn_decode_fused,1,16,256,256,64,13,41.952,200.740,0.149968
cutile,gdn_decode_fused,1,16,256,256,64,14,11.584,726.989,0.543116
cutile,gdn_decode_fused,1,16,256,256,64,15,169.408,49.711,0.037138
cutile,gdn_decode_fused,1,16,256,256,64,16,11.744,717.084,0.535717
cutile,gdn_decode_fused,1,16,256,256,64,17,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,18,10.368,812.253,0.606815
cutile,gdn_decode_fused,1,16,256,256,64,19,139.776,60.250,0.045011
cutile,gdn_decode_fused,1,16,256,256,64,20,11.776,715.136,0.534261
cutile,gdn_decode_fused,1,16,256,256,64,21,9.696,868.548,0.648871
cutile,gdn_decode_fused,1,16,256,256,64,22,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,23,57.376,146.776,0.109653
cutile,gdn_decode_fused,1,16,256,256,64,24,11.840,711.270,0.531373
cutile,gdn_decode_fused,1,16,256,256,64,25,10.848,776.313,0.579965
cutile,gdn_decode_fused,1,16,256,256,64,26,10.464,804.801,0.601248
cutile,gdn_decode_fused,1,16,256,256,64,27,11.744,717.084,0.535717
cutile,gdn_decode_fused,1,16,256,256,64,28,48.960,172.007,0.128502
cutile,gdn_decode_fused,1,16,256,256,64,29,11.296,745.524,0.556963
cutile,gdn_decode_fused,1,16,256,256,64,30,10.816,778.609,0.581680
cutile,gdn_decode_fused,1,16,256,256,64,31,37.440,224.932,0.168041
cutile,gdn_decode_fused,1,16,256,256,64,32,10.880,774.029,0.578259
cutile,gdn_decode_fused,1,16,256,256,64,33,11.808,713.198,0.532813
cutile,gdn_decode_fused,1,16,256,256,64,34,11.264,747.642,0.558545
cutile,gdn_decode_fused,1,16,256,256,64,35,11.232,749.772,0.560137
cutile,gdn_decode_fused,1,16,256,256,64,36,11.456,735.112,0.549184
cutile,gdn_decode_fused,1,16,256,256,64,37,11.392,739.242,0.552270
cutile,gdn_decode_fused,1,16,256,256,64,38,11.392,739.242,0.552270
cutile,gdn_decode_fused,1,16,256,256,64,39,49.376,170.557,0.127419
cutile,gdn_decode_fused,1,16,256,256,64,40,11.712,719.044,0.537180
cutile,gdn_decode_fused,1,16,256,256,64,41,10.912,771.760,0.576563
cutile,gdn_decode_fused,1,16,256,256,64,42,35.136,239.681,0.179060
cutile,gdn_decode_fused,1,16,256,256,64,43,17.792,473.327,0.353612
cutile,gdn_decode_fused,1,16,256,256,64,44,10.912,771.760,0.576563
cutile,gdn_decode_fused,1,16,256,256,64,45,19.200,438.617,0.327680
cutile,gdn_decode_fused,1,16,256,256,64,46,11.904,707.446,0.528516
cutile,gdn_decode_fused,1,16,256,256,64,47,10.688,787.934,0.588647
cutile,gdn_decode_fused,1,16,256,256,64,48,11.264,747.642,0.558545
cutile,gdn_decode_fused,1,16,256,256,64,49,10.848,776.313,0.579965
