impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,19.104,440.821,0.329327
cutile,gdn_decode_fused,1,16,256,256,64,1,27.616,304.948,0.227819
cutile,gdn_decode_fused,1,16,256,256,64,2,11.328,743.418,0.555390
cutile,gdn_decode_fused,1,16,256,256,64,3,10.720,785.582,0.586890
cutile,gdn_decode_fused,1,16,256,256,64,4,17.632,477.623,0.356820
cutile,gdn_decode_fused,1,16,256,256,64,5,11.264,747.642,0.558545
cutile,gdn_decode_fused,1,16,256,256,64,6,17.408,483.768,0.361412
cutile,gdn_decode_fused,1,16,256,256,64,7,37.376,225.317,0.168329
cutile,gdn_decode_fused,1,16,256,256,64,8,11.808,713.198,0.532813
cutile,gdn_decode_fused,1,16,256,256,64,9,10.848,776.313,0.579965
cutile,gdn_decode_fused,1,16,256,256,64,10,11.584,726.989,0.543116
cutile,gdn_decode_fused,1,16,256,256,64,11,38.944,216.245,0.161551
cutile,gdn_decode_fused,1,16,256,256,64,12,11.392,739.242,0.552270
cutile,gdn_decode_fused,1,16,256,256,64,13,10.432,807.270,0.603092
cutile,gdn_decode_fused,1,16,256,256,64,14,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,15,26.784,314.421,0.234896
cutile,gdn_decode_fused,1,16,256,256,64,16,11.008,765.029,0.571535
cutile,gdn_decode_fused,1,16,256,256,64,17,10.176,827.579,0.618264
cutile,gdn_decode_fused,1,16,256,256,64,18,10.304,817.298,0.610584
cutile,gdn_decode_fused,1,16,256,256,64,19,11.968,703.663,0.525690
cutile,gdn_decode_fused,1,16,256,256,64,20,10.784,780.920,0.583407
cutile,gdn_decode_fused,1,16,256,256,64,21,35.904,234.554,0.175230
cutile,gdn_decode_fused,1,16,256,256,64,22,10.592,795.076,0.593982
cutile,gdn_decode_fused,1,16,256,256,64,23,9.696,868.548,0.648871
cutile,gdn_decode_fused,1,16,256,256,64,24,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,25,10.848,776.313,0.579965
cutile,gdn_decode_fused,1,16,256,256,64,26,11.392,739.242,0.552270
cutile,gdn_decode_fused,1,16,256,256,64,27,12.320,683.558,0.510670
cutile,gdn_decode_fused,1,16,256,256,64,28,10.816,778.609,0.581680
cutile,gdn_decode_fused,1,16,256,256,64,29,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,30,45.088,186.778,0.139537
cutile,gdn_decode_fused,1,16,256,256,64,31,10.816,778.609,0.581680
cutile,gdn_decode_fused,1,16,256,256,64,32,9.696,868.548,0.648871
cutile,gdn_decode_fused,1,16,256,256,64,33,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,34,29.760,282.979,0.211406
cutile,gdn_decode_fused,1,16,256,256,64,35,10.464,804.801,0.601248
cutile,gdn_decode_fused,1,16,256,256,64,36,9.696,868.548,0.648871
cutile,gdn_decode_fused,1,16,256,256,64,37,10.272,819.844,0.612486
cutile,gdn_decode_fused,1,16,256,256,64,38,10.816,778.609,0.581680
cutile,gdn_decode_fused,1,16,256,256,64,39,10.976,767.259,0.573201
cutile,gdn_decode_fused,1,16,256,256,64,40,36.672,229.642,0.171560
cutile,gdn_decode_fused,1,16,256,256,64,41,11.392,739.242,0.552270
cutile,gdn_decode_fused,1,16,256,256,64,42,11.808,713.198,0.532813
cutile,gdn_decode_fused,1,16,256,256,64,43,10.624,792.681,0.592193
cutile,gdn_decode_fused,1,16,256,256,64,44,47.168,178.541,0.133384
cutile,gdn_decode_fused,1,16,256,256,64,45,11.552,729.003,0.544620
cutile,gdn_decode_fused,1,16,256,256,64,46,9.696,868.548,0.648871
cutile,gdn_decode_fused,1,16,256,256,64,47,9.728,865.691,0.646737
cutile,gdn_decode_fused,1,16,256,256,64,48,47.584,176.980,0.132218
cutile,gdn_decode_fused,1,16,256,256,64,49,9.728,865.691,0.646737
