impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,4,64,256,256,64,0,124.384,1083.283,0.809295
cutile,gdn_decode_fused,4,64,256,256,64,1,119.808,1124.658,0.840205
cutile,gdn_decode_fused,4,64,256,256,64,2,117.824,1143.596,0.854353
cutile,gdn_decode_fused,4,64,256,256,64,3,120.896,1114.537,0.832644
cutile,gdn_decode_fused,4,64,256,256,64,4,115.776,1163.825,0.869466
cutile,gdn_decode_fused,4,64,256,256,64,5,117.408,1147.648,0.857380
cutile,gdn_decode_fused,4,64,256,256,64,6,119.648,1126.162,0.841329
cutile,gdn_decode_fused,4,64,256,256,64,7,115.712,1164.469,0.869947
cutile,gdn_decode_fused,4,64,256,256,64,8,116.128,1160.298,0.866831
cutile,gdn_decode_fused,4,64,256,256,64,9,119.968,1123.158,0.839085
cutile,gdn_decode_fused,4,64,256,256,64,10,396.096,340.178,0.254139
cutile,gdn_decode_fused,4,64,256,256,64,11,115.232,1169.320,0.873571
cutile,gdn_decode_fused,4,64,256,256,64,12,118.464,1137.418,0.849737
cutile,gdn_decode_fused,4,64,256,256,64,13,356.928,377.508,0.282027
cutile,gdn_decode_fused,4,64,256,256,64,14,120.224,1120.767,0.837298
cutile,gdn_decode_fused,4,64,256,256,64,15,119.392,1128.577,0.843133
cutile,gdn_decode_fused,4,64,256,256,64,16,117.312,1148.587,0.858082
cutile,gdn_decode_fused,4,64,256,256,64,17,119.456,1127.972,0.842681
cutile,gdn_decode_fused,4,64,256,256,64,18,119.712,1125.560,0.840879
cutile,gdn_decode_fused,4,64,256,256,64,19,115.360,1168.022,0.872601
cutile,gdn_decode_fused,4,64,256,256,64,20,123.040,1095.116,0.818135
cutile,gdn_decode_fused,4,64,256,256,64,21,115.680,1164.791,0.870188
cutile,gdn_decode_fused,4,64,256,256,64,22,122.016,1104.306,0.825001
cutile,gdn_decode_fused,4,64,256,256,64,23,115.744,1164.147,0.869706
cutile,gdn_decode_fused,4,64,256,256,64,24,115.936,1162.219,0.868266
cutile,gdn_decode_fused,4,64,256,256,64,25,117.792,1143.907,0.854585
cutile,gdn_decode_fused,4,64,256,256,64,26,118.208,1139.881,0.851578
cutile,gdn_decode_fused,4,64,256,256,64,27,117.024,1151.414,0.860194
cutile,gdn_decode_fused,4,64,256,256,64,28,121.952,1104.886,0.825434
cutile,gdn_decode_fused,4,64,256,256,64,29,122.016,1104.306,0.825001
cutile,gdn_decode_fused,4,64,256,256,64,30,119.904,1123.758,0.839532
cutile,gdn_decode_fused,4,64,256,256,64,31,117.696,1144.840,0.855282
cutile,gdn_decode_fused,4,64,256,256,64,32,124.032,1086.357,0.811591
cutile,gdn_decode_fused,4,64,256,256,64,33,119.936,1123.458,0.839308
cutile,gdn_decode_fused,4,64,256,256,64,34,123.328,1092.558,0.816224
cutile,gdn_decode_fused,4,64,256,256,64,35,119.744,1125.259,0.840654
cutile,gdn_decode_fused,4,64,256,256,64,36,121.920,1105.176,0.825650
cutile,gdn_decode_fused,4,64,256,256,64,37,119.936,1123.458,0.839308
cutile,gdn_decode_fused,4,64,256,256,64,38,119.808,1124.658,0.840205
cutile,gdn_decode_fused,4,64,256,256,64,39,121.984,1104.596,0.825217
cutile,gdn_decode_fused,4,64,256,256,64,40,372.064,362.150,0.270554
cutile,gdn_decode_fused,4,64,256,256,64,41,114.720,1174.538,0.877469
cutile,gdn_decode_fused,4,64,256,256,64,42,117.920,1142.665,0.853658
cutile,gdn_decode_fused,4,64,256,256,64,43,119.872,1124.058,0.839757
cutile,gdn_decode_fused,4,64,256,256,64,44,118.944,1132.828,0.846308
cutile,gdn_decode_fused,4,64,256,256,64,45,117.536,1146.398,0.856446
cutile,gdn_decode_fused,4,64,256,256,64,46,117.888,1142.975,0.853889
cutile,gdn_decode_fused,4,64,256,256,64,47,410.144,328.526,0.245434
cutile,gdn_decode_fused,4,64,256,256,64,48,114.176,1180.135,0.881650
cutile,gdn_decode_fused,4,64,256,256,64,49,121.344,1110.422,0.829570
