impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,33.696,249.924,0.186712
cutile,gdn_decode_fused,1,16,256,256,64,1,22.304,377.575,0.282077
cutile,gdn_decode_fused,1,16,256,256,64,2,19.776,425.841,0.318136
cutile,gdn_decode_fused,1,16,256,256,64,3,21.472,392.206,0.293007
cutile,gdn_decode_fused,1,16,256,256,64,4,21.184,397.538,0.296991
cutile,gdn_decode_fused,1,16,256,256,64,5,37.888,222.272,0.166054
cutile,gdn_decode_fused,1,16,256,256,64,6,15.744,534.898,0.399610
cutile,gdn_decode_fused,1,16,256,256,64,7,59.744,140.959,0.105307
cutile,gdn_decode_fused,1,16,256,256,64,8,15.040,559.936,0.418315
cutile,gdn_decode_fused,1,16,256,256,64,9,15.232,552.878,0.413042
cutile,gdn_decode_fused,1,16,256,256,64,10,15.616,539.283,0.402885
cutile,gdn_decode_fused,1,16,256,256,64,11,15.744,534.898,0.399610
cutile,gdn_decode_fused,1,16,256,256,64,12,15.872,530.585,0.396387
cutile,gdn_decode_fused,1,16,256,256,64,13,272.064,30.954,0.023125
cutile,gdn_decode_fused,1,16,256,256,64,14,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,15,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,16,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,17,48.288,174.400,0.130290
cutile,gdn_decode_fused,1,16,256,256,64,18,15.328,549.415,0.410455
cutile,gdn_decode_fused,1,16,256,256,64,19,15.168,555.211,0.414785
cutile,gdn_decode_fused,1,16,256,256,64,20,14.368,586.125,0.437880
cutile,gdn_decode_fused,1,16,256,256,64,21,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,22,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,23,66.784,126.100,0.094206
cutile,gdn_decode_fused,1,16,256,256,64,24,14.720,572.109,0.427409
cutile,gdn_decode_fused,1,16,256,256,64,25,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,26,14.368,586.125,0.437880
cutile,gdn_decode_fused,1,16,256,256,64,27,15.680,537.082,0.401241
cutile,gdn_decode_fused,1,16,256,256,64,28,41.504,202.907,0.151587
cutile,gdn_decode_fused,1,16,256,256,64,29,14.976,562.329,0.420103
cutile,gdn_decode_fused,1,16,256,256,64,30,39.968,210.705,0.157412
cutile,gdn_decode_fused,1,16,256,256,64,31,16.224,519.073,0.387787
cutile,gdn_decode_fused,1,16,256,256,64,32,14.944,563.533,0.421002
cutile,gdn_decode_fused,1,16,256,256,64,33,30.080,279.968,0.209157
cutile,gdn_decode_fused,1,16,256,256,64,34,60.576,139.023,0.103861
cutile,gdn_decode_fused,1,16,256,256,64,35,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,36,14.368,586.125,0.437880
cutile,gdn_decode_fused,1,16,256,256,64,37,14.720,572.109,0.427409
cutile,gdn_decode_fused,1,16,256,256,64,38,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,39,35.872,234.764,0.175386
cutile,gdn_decode_fused,1,16,256,256,64,40,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,41,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,42,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,43,47.136,178.663,0.133475
cutile,gdn_decode_fused,1,16,256,256,64,44,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,45,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,46,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,47,41.056,205.121,0.153241
cutile,gdn_decode_fused,1,16,256,256,64,48,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,49,13.824,609.190,0.455111
