impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,22.400,375.957,0.280869
cutile,gdn_decode_fused,1,16,256,256,64,1,16.224,519.073,0.387787
cutile,gdn_decode_fused,1,16,256,256,64,2,16.064,524.243,0.391649
cutile,gdn_decode_fused,1,16,256,256,64,3,21.504,391.622,0.292571
cutile,gdn_decode_fused,1,16,256,256,64,4,105.568,79.773,0.059596
cutile,gdn_decode_fused,1,16,256,256,64,5,15.296,550.565,0.411314
cutile,gdn_decode_fused,1,16,256,256,64,6,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,7,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,8,80.928,104.061,0.077741
cutile,gdn_decode_fused,1,16,256,256,64,9,15.456,544.865,0.407056
cutile,gdn_decode_fused,1,16,256,256,64,10,14.976,562.329,0.420103
cutile,gdn_decode_fused,1,16,256,256,64,11,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,12,14.400,584.822,0.436907
cutile,gdn_decode_fused,1,16,256,256,64,13,41.120,204.802,0.153002
cutile,gdn_decode_fused,1,16,256,256,64,14,15.168,555.211,0.414785
cutile,gdn_decode_fused,1,16,256,256,64,15,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,16,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,17,46.272,181.999,0.135967
cutile,gdn_decode_fused,1,16,256,256,64,18,14.720,572.109,0.427409
cutile,gdn_decode_fused,1,16,256,256,64,19,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,20,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,21,39.968,210.705,0.157412
cutile,gdn_decode_fused,1,16,256,256,64,22,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,23,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,24,14.400,584.822,0.436907
cutile,gdn_decode_fused,1,16,256,256,64,25,14.624,575.864,0.430214
cutile,gdn_decode_fused,1,16,256,256,64,26,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,27,31.520,267.178,0.199602
cutile,gdn_decode_fused,1,16,256,256,64,28,15.584,540.390,0.403713
cutile,gdn_decode_fused,1,16,256,256,64,29,14.784,569.632,0.425558
cutile,gdn_decode_fused,1,16,256,256,64,30,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,31,39.008,215.890,0.161286
cutile,gdn_decode_fused,1,16,256,256,64,32,14.848,567.177,0.423724
cutile,gdn_decode_fused,1,16,256,256,64,33,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,34,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,35,64.800,129.960,0.097090
cutile,gdn_decode_fused,1,16,256,256,64,36,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,37,14.528,579.670,0.433057
cutile,gdn_decode_fused,1,16,256,256,64,38,14.432,583.525,0.435938
cutile,gdn_decode_fused,1,16,256,256,64,39,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,40,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,41,37.952,221.897,0.165774
cutile,gdn_decode_fused,1,16,256,256,64,42,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,43,14.400,584.822,0.436907
cutile,gdn_decode_fused,1,16,256,256,64,44,15.392,547.131,0.408748
cutile,gdn_decode_fused,1,16,256,256,64,45,14.880,565.957,0.422813
cutile,gdn_decode_fused,1,16,256,256,64,46,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,47,35.872,234.764,0.175386
cutile,gdn_decode_fused,1,16,256,256,64,48,14.848,567.177,0.423724
cutile,gdn_decode_fused,1,16,256,256,64,49,13.824,609.190,0.455111
