impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,4,64,256,256,64,0,136.352,988.200,0.738260
cutile,gdn_decode_fused,4,64,256,256,64,1,115.296,1168.671,0.873086
cutile,gdn_decode_fused,4,64,256,256,64,2,119.840,1124.358,0.839981
cutile,gdn_decode_fused,4,64,256,256,64,3,114.848,1173.229,0.876491
cutile,gdn_decode_fused,4,64,256,256,64,4,115.808,1163.504,0.869226
cutile,gdn_decode_fused,4,64,256,256,64,5,119.936,1123.458,0.839308
cutile,gdn_decode_fused,4,64,256,256,64,6,117.568,1146.086,0.856213
cutile,gdn_decode_fused,4,64,256,256,64,7,117.824,1143.596,0.854353
cutile,gdn_decode_fused,4,64,256,256,64,8,117.408,1147.648,0.857380
cutile,gdn_decode_fused,4,64,256,256,64,9,124.064,1086.077,0.811382
cutile,gdn_decode_fused,4,64,256,256,64,10,114.752,1174.211,0.877225
cutile,gdn_decode_fused,4,64,256,256,64,11,119.968,1123.158,0.839085
cutile,gdn_decode_fused,4,64,256,256,64,12,115.808,1163.504,0.869226
cutile,gdn_decode_fused,4,64,256,256,64,13,116.736,1154.254,0.862316
cutile,gdn_decode_fused,4,64,256,256,64,14,117.728,1144.528,0.855050
cutile,gdn_decode_fused,4,64,256,256,64,15,120.000,1122.859,0.838861
cutile,gdn_decode_fused,4,64,256,256,64,16,119.360,1128.879,0.843359
cutile,gdn_decode_fused,4,64,256,256,64,17,119.264,1129.788,0.844038
cutile,gdn_decode_fused,4,64,256,256,64,18,125.728,1071.703,0.800643
cutile,gdn_decode_fused,4,64,256,256,64,19,118.208,1139.881,0.851578
cutile,gdn_decode_fused,4,64,256,256,64,20,119.424,1128.274,0.842907
cutile,gdn_decode_fused,4,64,256,256,64,21,117.888,1142.975,0.853889
cutile,gdn_decode_fused,4,64,256,256,64,22,119.552,1127.066,0.842004
cutile,gdn_decode_fused,4,64,256,256,64,23,116.096,1160.617,0.867069
cutile,gdn_decode_fused,4,64,256,256,64,24,415.264,324.476,0.242408
cutile,gdn_decode_fused,4,64,256,256,64,25,123.072,1094.831,0.817922
cutile,gdn_decode_fused,4,64,256,256,64,26,119.392,1128.577,0.843133
cutile,gdn_decode_fused,4,64,256,256,64,27,117.024,1151.414,0.860194
cutile,gdn_decode_fused,4,64,256,256,64,28,120.192,1121.065,0.837521
cutile,gdn_decode_fused,4,64,256,256,64,29,115.840,1163.182,0.868986
cutile,gdn_decode_fused,4,64,256,256,64,30,117.920,1142.665,0.853658
cutile,gdn_decode_fused,4,64,256,256,64,31,121.920,1105.176,0.825650
cutile,gdn_decode_fused,4,64,256,256,64,32,115.872,1162.861,0.868746
cutile,gdn_decode_fused,4,64,256,256,64,33,115.840,1163.182,0.868986
cutile,gdn_decode_fused,4,64,256,256,64,34,119.840,1124.358,0.839981
cutile,gdn_decode_fused,4,64,256,256,64,35,115.840,1163.182,0.868986
cutile,gdn_decode_fused,4,64,256,256,64,36,117.888,1142.975,0.853889
cutile,gdn_decode_fused,4,64,256,256,64,37,419.808,320.963,0.239784
cutile,gdn_decode_fused,4,64,256,256,64,38,118.464,1137.418,0.849737
cutile,gdn_decode_fused,4,64,256,256,64,39,120.288,1120.170,0.836852
cutile,gdn_decode_fused,4,64,256,256,64,40,517.472,260.387,0.194529
cutile,gdn_decode_fused,4,64,256,256,64,41,112.672,1195.888,0.893419
cutile,gdn_decode_fused,4,64,256,256,64,42,119.904,1123.758,0.839532
cutile,gdn_decode_fused,4,64,256,256,64,43,121.504,1108.960,0.828477
cutile,gdn_decode_fused,4,64,256,256,64,44,116.384,1157.745,0.864924
cutile,gdn_decode_fused,4,64,256,256,64,45,117.952,1142.355,0.853426
cutile,gdn_decode_fused,4,64,256,256,64,46,120.608,1117.198,0.834632
cutile,gdn_decode_fused,4,64,256,256,64,47,114.432,1177.494,0.879678
cutile,gdn_decode_fused,4,64,256,256,64,48,122.336,1101.418,0.822843
cutile,gdn_decode_fused,4,64,256,256,64,49,114.208,1179.804,0.881403
