impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,256,256,64,0,51.904,162.250,0.121213
cutile,gdn_decode_fused,1,16,256,256,64,1,27.392,307.442,0.229682
cutile,gdn_decode_fused,1,16,256,256,64,2,19.712,427.224,0.319169
cutile,gdn_decode_fused,1,16,256,256,64,3,63.488,132.646,0.099097
cutile,gdn_decode_fused,1,16,256,256,64,4,15.456,544.865,0.407056
cutile,gdn_decode_fused,1,16,256,256,64,5,15.040,559.936,0.418315
cutile,gdn_decode_fused,1,16,256,256,64,6,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,7,54.304,155.080,0.115856
cutile,gdn_decode_fused,1,16,256,256,64,8,16.192,520.099,0.388553
cutile,gdn_decode_fused,1,16,256,256,64,9,13.280,634.145,0.473754
cutile,gdn_decode_fused,1,16,256,256,64,10,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,11,54.336,154.988,0.115788
cutile,gdn_decode_fused,1,16,256,256,64,12,15.296,550.565,0.411314
cutile,gdn_decode_fused,1,16,256,256,64,13,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,14,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,15,53.280,158.060,0.118083
cutile,gdn_decode_fused,1,16,256,256,64,16,15.456,544.865,0.407056
cutile,gdn_decode_fused,1,16,256,256,64,17,14.816,568.402,0.424639
cutile,gdn_decode_fused,1,16,256,256,64,18,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,19,29.664,283.894,0.212091
cutile,gdn_decode_fused,1,16,256,256,64,20,40.000,210.536,0.157286
cutile,gdn_decode_fused,1,16,256,256,64,21,16.128,522.163,0.390095
cutile,gdn_decode_fused,1,16,256,256,64,22,15.424,545.996,0.407900
cutile,gdn_decode_fused,1,16,256,256,64,23,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,24,15.200,554.042,0.413912
cutile,gdn_decode_fused,1,16,256,256,64,25,15.584,540.390,0.403713
cutile,gdn_decode_fused,1,16,256,256,64,26,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,27,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,28,16.768,502.233,0.375206
cutile,gdn_decode_fused,1,16,256,256,64,29,14.976,562.329,0.420103
cutile,gdn_decode_fused,1,16,256,256,64,30,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,31,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,32,14.496,580.949,0.434013
cutile,gdn_decode_fused,1,16,256,256,64,33,15.584,540.390,0.403713
cutile,gdn_decode_fused,1,16,256,256,64,34,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,35,13.824,609.190,0.455111
cutile,gdn_decode_fused,1,16,256,256,64,36,14.368,586.125,0.437880
cutile,gdn_decode_fused,1,16,256,256,64,37,15.488,543.740,0.406215
cutile,gdn_decode_fused,1,16,256,256,64,38,16.160,521.129,0.389323
cutile,gdn_decode_fused,1,16,256,256,64,39,16.160,521.129,0.389323
cutile,gdn_decode_fused,1,16,256,256,64,40,16.352,515.010,0.384751
cutile,gdn_decode_fused,1,16,256,256,64,41,14.944,563.533,0.421002
cutile,gdn_decode_fused,1,16,256,256,64,42,15.520,542.619,0.405377
cutile,gdn_decode_fused,1,16,256,256,64,43,14.912,564.742,0.421906
cutile,gdn_decode_fused,1,16,256,256,64,44,98.368,85.612,0.063958
cutile,gdn_decode_fused,1,16,256,256,64,45,15.456,544.865,0.407056
cutile,gdn_decode_fused,1,16,256,256,64,46,14.432,583.525,0.435938
cutile,gdn_decode_fused,1,16,256,256,64,47,13.792,610.603,0.456167
cutile,gdn_decode_fused,1,16,256,256,64,48,15.072,558.747,0.417427
cutile,gdn_decode_fused,1,16,256,256,64,49,42.272,199.220,0.148833
