impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,8,128,128,128,0,20.736,50.965,0.037926
cutile,gdn_decode_fused,1,8,128,128,128,1,57.088,18.512,0.013776
cutile,gdn_decode_fused,1,8,128,128,128,2,13.408,78.819,0.058654
cutile,gdn_decode_fused,1,8,128,128,128,3,12.864,82.152,0.061134
cutile,gdn_decode_fused,1,8,128,128,128,4,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,5,49.184,21.487,0.015990
cutile,gdn_decode_fused,1,8,128,128,128,6,13.376,79.007,0.058794
cutile,gdn_decode_fused,1,8,128,128,128,7,12.864,82.152,0.061134
cutile,gdn_decode_fused,1,8,128,128,128,8,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,9,30.784,34.330,0.025547
cutile,gdn_decode_fused,1,8,128,128,128,10,13.408,78.819,0.058654
cutile,gdn_decode_fused,1,8,128,128,128,11,12.960,81.543,0.060681
cutile,gdn_decode_fused,1,8,128,128,128,12,12.384,85.336,0.063504
cutile,gdn_decode_fused,1,8,128,128,128,13,13.504,78.258,0.058237
cutile,gdn_decode_fused,1,8,128,128,128,14,13.536,78.073,0.058099
cutile,gdn_decode_fused,1,8,128,128,128,15,27.136,38.945,0.028981
cutile,gdn_decode_fused,1,8,128,128,128,16,11.712,90.232,0.067148
cutile,gdn_decode_fused,1,8,128,128,128,17,47.616,22.194,0.016516
cutile,gdn_decode_fused,1,8,128,128,128,18,12.608,83.820,0.062376
cutile,gdn_decode_fused,1,8,128,128,128,19,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,20,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,21,52.256,20.224,0.015050
cutile,gdn_decode_fused,1,8,128,128,128,22,12.896,81.948,0.060983
cutile,gdn_decode_fused,1,8,128,128,128,23,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,24,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,25,53.568,19.728,0.014681
cutile,gdn_decode_fused,1,8,128,128,128,26,12.608,83.820,0.062376
cutile,gdn_decode_fused,1,8,128,128,128,27,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,28,12.320,85.779,0.063834
cutile,gdn_decode_fused,1,8,128,128,128,29,12.800,82.563,0.061440
cutile,gdn_decode_fused,1,8,128,128,128,30,13.088,80.746,0.060088
cutile,gdn_decode_fused,1,8,128,128,128,31,189.632,5.573,0.004147
cutile,gdn_decode_fused,1,8,128,128,128,32,12.160,86.908,0.064674
cutile,gdn_decode_fused,1,8,128,128,128,33,12.768,82.769,0.061594
cutile,gdn_decode_fused,1,8,128,128,128,34,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,35,46.112,22.918,0.017055
cutile,gdn_decode_fused,1,8,128,128,128,36,12.800,82.563,0.061440
cutile,gdn_decode_fused,1,8,128,128,128,37,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,38,12.480,84.679,0.063015
cutile,gdn_decode_fused,1,8,128,128,128,39,138.752,7.616,0.005668
cutile,gdn_decode_fused,1,8,128,128,128,40,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,41,12.320,85.779,0.063834
cutile,gdn_decode_fused,1,8,128,128,128,42,13.440,78.631,0.058514
cutile,gdn_decode_fused,1,8,128,128,128,43,13.472,78.444,0.058375
cutile,gdn_decode_fused,1,8,128,128,128,44,137.696,7.675,0.005711
cutile,gdn_decode_fused,1,8,128,128,128,45,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,46,11.776,89.742,0.066783
cutile,gdn_decode_fused,1,8,128,128,128,47,12.736,82.977,0.061749
cutile,gdn_decode_fused,1,8,128,128,128,48,140.576,7.518,0.005594
cutile,gdn_decode_fused,1,8,128,128,128,49,11.776,89.742,0.066783
