impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,4,64,64,64,0,13.216,10.074,0.007438
cutile,gdn_decode_fused,1,4,64,64,64,1,105.248,1.265,0.000934
cutile,gdn_decode_fused,1,4,64,64,64,2,5.216,25.525,0.018847
cutile,gdn_decode_fused,1,4,64,64,64,3,6.144,21.669,0.016000
cutile,gdn_decode_fused,1,4,64,64,64,4,12.032,11.065,0.008170
cutile,gdn_decode_fused,1,4,64,64,64,5,84.288,1.580,0.001166
cutile,gdn_decode_fused,1,4,64,64,64,6,4.704,28.303,0.020898
cutile,gdn_decode_fused,1,4,64,64,64,7,12.832,10.375,0.007661
cutile,gdn_decode_fused,1,4,64,64,64,8,11.104,11.990,0.008853
cutile,gdn_decode_fused,1,4,64,64,64,9,69.664,1.911,0.001411
cutile,gdn_decode_fused,1,4,64,64,64,10,5.056,26.332,0.019443
cutile,gdn_decode_fused,1,4,64,64,64,11,5.664,23.506,0.017356
cutile,gdn_decode_fused,1,4,64,64,64,12,6.752,19.718,0.014559
cutile,gdn_decode_fused,1,4,64,64,64,13,42.816,3.109,0.002296
cutile,gdn_decode_fused,1,4,64,64,64,14,5.312,25.063,0.018506
cutile,gdn_decode_fused,1,4,64,64,64,15,5.248,25.369,0.018732
cutile,gdn_decode_fused,1,4,64,64,64,16,4.736,28.111,0.020757
cutile,gdn_decode_fused,1,4,64,64,64,17,31.552,4.220,0.003116
cutile,gdn_decode_fused,1,4,64,64,64,18,5.216,25.525,0.018847
cutile,gdn_decode_fused,1,4,64,64,64,19,4.128,32.252,0.023814
cutile,gdn_decode_fused,1,4,64,64,64,20,5.632,23.639,0.017455
cutile,gdn_decode_fused,1,4,64,64,64,21,41.248,3.228,0.002383
cutile,gdn_decode_fused,1,4,64,64,64,22,4.672,28.497,0.021041
cutile,gdn_decode_fused,1,4,64,64,64,23,11.968,11.124,0.008214
cutile,gdn_decode_fused,1,4,64,64,64,24,35.104,3.793,0.002800
cutile,gdn_decode_fused,1,4,64,64,64,25,19.168,6.946,0.005129
cutile,gdn_decode_fused,1,4,64,64,64,26,22.816,5.835,0.004309
cutile,gdn_decode_fused,1,4,64,64,64,27,53.344,2.496,0.001843
cutile,gdn_decode_fused,1,4,64,64,64,28,34.080,3.907,0.002885
cutile,gdn_decode_fused,1,4,64,64,64,29,6.112,21.783,0.016084
cutile,gdn_decode_fused,1,4,64,64,64,30,5.344,24.913,0.018395
cutile,gdn_decode_fused,1,4,64,64,64,31,5.600,23.774,0.017554
cutile,gdn_decode_fused,1,4,64,64,64,32,34.784,3.828,0.002826
cutile,gdn_decode_fused,1,4,64,64,64,33,34.592,3.849,0.002842
cutile,gdn_decode_fused,1,4,64,64,64,34,5.888,22.611,0.016696
cutile,gdn_decode_fused,1,4,64,64,64,35,4.864,27.372,0.020211
cutile,gdn_decode_fused,1,4,64,64,64,36,40.096,3.320,0.002452
cutile,gdn_decode_fused,1,4,64,64,64,37,4.384,30.369,0.022423
cutile,gdn_decode_fused,1,4,64,64,64,38,5.184,25.682,0.018963
cutile,gdn_decode_fused,1,4,64,64,64,39,44.288,3.006,0.002220
cutile,gdn_decode_fused,1,4,64,64,64,40,6.112,21.783,0.016084
cutile,gdn_decode_fused,1,4,64,64,64,41,6.496,20.495,0.015133
cutile,gdn_decode_fused,1,4,64,64,64,42,31.840,4.181,0.003087
cutile,gdn_decode_fused,1,4,64,64,64,43,5.440,24.474,0.018071
cutile,gdn_decode_fused,1,4,64,64,64,44,5.120,26.003,0.019200
cutile,gdn_decode_fused,1,4,64,64,64,45,5.632,23.639,0.017455
cutile,gdn_decode_fused,1,4,64,64,64,46,5.632,23.639,0.017455
cutile,gdn_decode_fused,1,4,64,64,64,47,6.336,21.013,0.015515
cutile,gdn_decode_fused,1,4,64,64,64,48,9.088,14.650,0.010817
cutile,gdn_decode_fused,1,4,64,64,64,49,5.632,23.639,0.017455
