impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,gdn_decode_fused,1,16,512,512,32,0,113.600,295.951,0.221530
cutile,gdn_decode_fused,1,16,512,512,32,1,64.352,522.440,0.391065
cutile,gdn_decode_fused,1,16,512,512,32,2,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,3,64.192,523.742,0.392040
cutile,gdn_decode_fused,1,16,512,512,32,4,64.480,521.402,0.390289
cutile,gdn_decode_fused,1,16,512,512,32,5,64.608,520.369,0.389516
cutile,gdn_decode_fused,1,16,512,512,32,6,65.088,516.532,0.386643
cutile,gdn_decode_fused,1,16,512,512,32,7,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,8,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,9,64.576,520.627,0.389709
cutile,gdn_decode_fused,1,16,512,512,32,10,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,11,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,12,64.064,524.788,0.392823
cutile,gdn_decode_fused,1,16,512,512,32,13,63.520,529.283,0.396187
cutile,gdn_decode_fused,1,16,512,512,32,14,64.416,521.921,0.390677
cutile,gdn_decode_fused,1,16,512,512,32,15,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,16,66.688,504.139,0.377367
cutile,gdn_decode_fused,1,16,512,512,32,17,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,18,64.608,520.369,0.389516
cutile,gdn_decode_fused,1,16,512,512,32,19,64.896,518.060,0.387787
cutile,gdn_decode_fused,1,16,512,512,32,20,66.048,509.024,0.381023
cutile,gdn_decode_fused,1,16,512,512,32,21,64.704,519.597,0.388938
cutile,gdn_decode_fused,1,16,512,512,32,22,64.448,521.661,0.390483
cutile,gdn_decode_fused,1,16,512,512,32,23,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,24,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,25,463.360,72.557,0.054312
cutile,gdn_decode_fused,1,16,512,512,32,26,66.016,509.271,0.381208
cutile,gdn_decode_fused,1,16,512,512,32,27,72.064,466.530,0.349215
cutile,gdn_decode_fused,1,16,512,512,32,28,94.432,356.024,0.266497
cutile,gdn_decode_fused,1,16,512,512,32,29,60.320,557.361,0.417205
cutile,gdn_decode_fused,1,16,512,512,32,30,64.608,520.369,0.389516
cutile,gdn_decode_fused,1,16,512,512,32,31,64.768,519.084,0.388553
cutile,gdn_decode_fused,1,16,512,512,32,32,64.512,521.144,0.390095
cutile,gdn_decode_fused,1,16,512,512,32,33,64.864,518.316,0.387978
cutile,gdn_decode_fused,1,16,512,512,32,34,64.256,523.220,0.391649
cutile,gdn_decode_fused,1,16,512,512,32,35,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,36,63.584,528.750,0.395789
cutile,gdn_decode_fused,1,16,512,512,32,37,64.704,519.597,0.388938
cutile,gdn_decode_fused,1,16,512,512,32,38,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,39,64.608,520.369,0.389516
cutile,gdn_decode_fused,1,16,512,512,32,40,62.592,537.130,0.402061
cutile,gdn_decode_fused,1,16,512,512,32,41,64.960,517.550,0.387405
cutile,gdn_decode_fused,1,16,512,512,32,42,62.624,536.855,0.401856
cutile,gdn_decode_fused,1,16,512,512,32,43,64.896,518.060,0.387787
cutile,gdn_decode_fused,1,16,512,512,32,44,65.120,516.278,0.386453
cutile,gdn_decode_fused,1,16,512,512,32,45,64.480,521.402,0.390289
cutile,gdn_decode_fused,1,16,512,512,32,46,64.640,520.112,0.389323
cutile,gdn_decode_fused,1,16,512,512,32,47,63.808,526.894,0.394399
cutile,gdn_decode_fused,1,16,512,512,32,48,62.944,534.126,0.399813
cutile,gdn_decode_fused,1,16,512,512,32,49,64.000,525.313,0.393216
