impl,kernel,batch,seq,n_q,n_kv,d_head,block_m,block_n,iter,gpu_ms,tflops
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,0,0.421376,163.083513
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,1,0.416128,165.140234
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,2,0.418496,164.205810
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,3,0.416800,164.873988
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,4,0.416896,164.836024
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,5,0.416576,164.962641
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,6,0.416992,164.798066
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,7,0.416288,165.076771
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,8,0.416256,165.089452
cutile,gqa_fwd_fused,1,2048,32,8,128,64,64,9,0.417280,164.684333
