impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,4.225280,81.319439
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.069216,111.949560
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,4.362592,78.759913
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.692032,93.064571
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.070592,111.899397
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,4.441088,77.367836
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.071584,111.863255
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,4.088640,84.037080
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,4.422144,77.699276
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,3.075584,111.717772
