impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,4.668608,73.597391
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,4.968960,69.148755
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,4.881920,70.381611
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,4.916736,69.883226
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,4.653536,73.835766
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,4.617728,74.408316
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,4.922880,69.796008
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,4.897280,70.160858
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,4.705792,73.015847
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,4.905472,70.043698
