impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,3.611776,95.132526
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.338752,102.911921
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,4.337152,79.221891
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.077920,111.632982
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.867168,88.849874
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,3.422720,100.387232
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.332608,103.101651
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,3.701248,92.832847
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,3.063296,112.165907
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,3.806720,90.260745
