impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,5.008416,68.604000
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,5.316096,64.633407
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,5.580288,61.573415
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,5.017088,68.485422
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,4.579840,75.023881
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,5.399040,63.640456
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,4.901376,70.102232
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,5.265920,65.249258
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,5.676512,60.529670
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,5.203456,66.032535
