impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,3.655904,93.984245
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.406336,100.870078
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,3.735040,91.992961
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.066016,112.066404
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.705312,92.731026
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,4.056576,84.701335
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.063840,112.145998
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,3.064448,112.123740
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,3.948032,87.030042
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,3.670528,93.609799
