impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,4.972896,69.094020
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,4.541952,75.649715
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,5.338624,64.360664
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,5.413376,63.471925
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,4.942336,69.521250
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,5.292544,64.921027
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,4.627936,74.244197
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,4.665856,73.640805
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,5.310976,64.695714
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,5.709312,60.181925
