impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,3.843328,89.401004
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.059872,112.291427
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,3.619264,94.935709
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.287552,104.514658
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.597824,95.501440
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,3.803648,90.333644
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.067616,112.007952
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,3.339168,102.899098
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,3.878400,88.592558
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,3.750400,91.616195
