impl,kernel,n,iter,gpu_ms,tflops
cutile,matmul_tc_bf16,4096,0,0.861472,159.539662
cutile,matmul_tc_bf16,4096,1,1.190208,115.474739
cutile,matmul_tc_bf16,4096,2,0.861472,159.539662
cutile,matmul_tc_bf16,4096,3,1.102144,124.701448
cutile,matmul_tc_bf16,4096,4,0.864960,158.896309
cutile,matmul_tc_bf16,4096,5,0.860672,159.687958
cutile,matmul_tc_bf16,4096,6,0.861344,159.563376
cutile,matmul_tc_bf16,4096,7,0.863200,159.220287
cutile,matmul_tc_bf16,4096,8,1.104416,124.444912
cutile,matmul_tc_bf16,4096,9,1.086080,126.545889
cutile,matmul_tc_bf16,4096,10,0.861056,159.616737
cutile,matmul_tc_bf16,4096,11,0.863360,159.190784
cutile,matmul_tc_bf16,4096,12,0.861056,159.616737
cutile,matmul_tc_bf16,4096,13,0.861248,159.581155
cutile,matmul_tc_bf16,4096,14,1.234240,111.355123
cutile,matmul_tc_bf16,4096,15,0.863264,159.208480
cutile,matmul_tc_bf16,4096,16,1.143776,120.162467
cutile,matmul_tc_bf16,4096,17,0.860768,159.670144
cutile,matmul_tc_bf16,4096,18,0.858688,160.056917
cutile,matmul_tc_bf16,4096,19,0.859232,159.955579
cutile,matmul_tc_bf16,4096,20,0.864320,159.013972
cutile,matmul_tc_bf16,4096,21,1.075264,127.818802
cutile,matmul_tc_bf16,4096,22,1.421824,96.663831
cutile,matmul_tc_bf16,4096,23,1.299968,105.724874
cutile,matmul_tc_bf16,4096,24,0.868992,158.159060
cutile,matmul_tc_bf16,4096,25,0.856576,160.451553
cutile,matmul_tc_bf16,4096,26,0.859296,159.943663
cutile,matmul_tc_bf16,4096,27,1.140192,120.540181
cutile,matmul_tc_bf16,4096,28,1.156608,118.829331
cutile,matmul_tc_bf16,4096,29,0.863904,159.090540
cutile,matmul_tc_bf16,4096,30,0.855936,160.571532
cutile,matmul_tc_bf16,4096,31,0.856256,160.511520
cutile,matmul_tc_bf16,4096,32,0.859136,159.973457
cutile,matmul_tc_bf16,4096,33,1.329760,103.356213
cutile,matmul_tc_bf16,4096,34,1.129984,121.629112
cutile,matmul_tc_bf16,4096,35,0.863616,159.143595
cutile,matmul_tc_bf16,4096,36,0.858304,160.128521
cutile,matmul_tc_bf16,4096,37,1.093216,125.719858
cutile,matmul_tc_bf16,4096,38,0.860512,159.717646
cutile,matmul_tc_bf16,4096,39,0.860896,159.646409
cutile,matmul_tc_bf16,4096,40,1.158624,118.622562
cutile,matmul_tc_bf16,4096,41,0.867584,158.415733
cutile,matmul_tc_bf16,4096,42,1.155456,118.947809
cutile,matmul_tc_bf16,4096,43,1.287648,106.736435
cutile,matmul_tc_bf16,4096,44,0.868960,158.164875
cutile,matmul_tc_bf16,4096,45,1.126432,122.012656
cutile,matmul_tc_bf16,4096,46,1.109504,123.874232
cutile,matmul_tc_bf16,4096,47,0.858624,160.068850
cutile,matmul_tc_bf16,4096,48,0.857600,160.259979
cutile,matmul_tc_bf16,4096,49,0.859648,159.878177
