impl,kernel,n,iter,gpu_ms,tflops
cutile,matmul_tiled,1024,0,1.004288,2.138315
cutile,matmul_tiled,1024,1,0.578912,3.709516
cutile,matmul_tiled,1024,2,0.577024,3.721654
cutile,matmul_tiled,1024,3,0.599936,3.579521
cutile,matmul_tiled,1024,4,0.573216,3.746378
cutile,matmul_tiled,1024,5,0.573344,3.745541
cutile,matmul_tiled,1024,6,0.596096,3.602580
cutile,matmul_tiled,1024,7,0.581088,3.695625
cutile,matmul_tiled,1024,8,0.593152,3.620461
cutile,matmul_tiled,1024,9,0.585088,3.670360
cutile,matmul_tiled_simple,1024,0,0.860736,2.494939
cutile,matmul_tiled_simple,1024,1,0.830560,2.585585
cutile,matmul_tiled_simple,1024,2,0.827776,2.594281
cutile,matmul_tiled_simple,1024,3,0.829408,2.589176
cutile,matmul_tiled_simple,1024,4,0.828768,2.591176
cutile,matmul_tiled_simple,1024,5,0.829696,2.588278
cutile,matmul_tiled_simple,1024,6,0.848160,2.531932
cutile,matmul_tiled_simple,1024,7,1.288288,1.666928
cutile,matmul_tiled_simple,1024,8,0.828288,2.592677
cutile,matmul_tiled_simple,1024,9,0.830112,2.586981
cutile,matmul_tiled,2048,0,3.339904,5.143821
cutile,matmul_tiled,2048,1,2.605504,6.593684
cutile,matmul_tiled,2048,2,2.299968,7.469612
cutile,matmul_tiled,2048,3,2.766080,6.210909
cutile,matmul_tiled,2048,4,2.766976,6.208897
cutile,matmul_tiled,2048,5,2.585376,6.645018
cutile,matmul_tiled,2048,6,2.330496,7.371765
cutile,matmul_tiled,2048,7,2.318336,7.410431
cutile,matmul_tiled,2048,8,2.304896,7.453641
cutile,matmul_tiled,2048,9,2.884320,5.956298
cutile,matmul_tiled_simple,2048,0,6.456288,2.660952
cutile,matmul_tiled_simple,2048,1,6.463904,2.657816
cutile,matmul_tiled_simple,2048,2,6.475776,2.652944
cutile,matmul_tiled_simple,2048,3,7.117216,2.413847
cutile,matmul_tiled_simple,2048,4,7.166944,2.397098
cutile,matmul_tiled_simple,2048,5,6.487360,2.648207
cutile,matmul_tiled_simple,2048,6,6.448576,2.664134
cutile,matmul_tiled_simple,2048,7,6.456576,2.660833
cutile,matmul_tiled_simple,2048,8,7.132288,2.408746
cutile,matmul_tiled_simple,2048,9,7.190496,2.389247
cutile,matmul_tiled,4096,0,18.145599,7.574231
cutile,matmul_tiled,4096,1,16.222656,8.472038
cutile,matmul_tiled,4096,2,17.039713,8.065802
cutile,matmul_tiled,4096,3,15.490080,8.872708
cutile,matmul_tiled,4096,4,17.063711,8.054459
cutile,matmul_tiled,4096,5,15.533504,8.847904
cutile,matmul_tiled,4096,6,17.064800,8.053944
cutile,matmul_tiled,4096,7,15.553600,8.836472
cutile,matmul_tiled,4096,8,17.076160,8.048586
cutile,matmul_tiled,4096,9,15.567136,8.828789
cutile,matmul_tiled_simple,4096,0,53.572895,2.565457
cutile,matmul_tiled_simple,4096,1,53.572384,2.565481
cutile,matmul_tiled_simple,4096,2,54.044769,2.543057
cutile,matmul_tiled_simple,4096,3,52.880062,2.599069
cutile,matmul_tiled_simple,4096,4,54.855072,2.505492
cutile,matmul_tiled_simple,4096,5,53.362846,2.575555
cutile,matmul_tiled_simple,4096,6,53.367615,2.575325
cutile,matmul_tiled_simple,4096,7,54.022209,2.544119
cutile,matmul_tiled_simple,4096,8,52.901600,2.598011
cutile,matmul_tiled_simple,4096,9,54.330399,2.529688
