cuda-tile version: 1.3.0
cupy: 14.0.1
device: NVIDIA GeForce RTX 5090
compute capability: sm_120
BM=128 BN=128 BK=16  SIMPLE_TILE=16
correctness N=512

Running bench sweep (timed iters)…
[cutile-matmul_tiled] N=1024 iter=0 gpu_ms=1.004 tflops=2.138
[cutile-matmul_tiled] N=1024 iter=1 gpu_ms=0.579 tflops=3.710
[cutile-matmul_tiled] N=1024 iter=2 gpu_ms=0.577 tflops=3.722
[cutile-matmul_tiled] N=1024 iter=3 gpu_ms=0.600 tflops=3.580
[cutile-matmul_tiled] N=1024 iter=4 gpu_ms=0.573 tflops=3.746
[cutile-matmul_tiled] N=1024 iter=5 gpu_ms=0.573 tflops=3.746
[cutile-matmul_tiled] N=1024 iter=6 gpu_ms=0.596 tflops=3.603
[cutile-matmul_tiled] N=1024 iter=7 gpu_ms=0.581 tflops=3.696
[cutile-matmul_tiled] N=1024 iter=8 gpu_ms=0.593 tflops=3.620
[cutile-matmul_tiled] N=1024 iter=9 gpu_ms=0.585 tflops=3.670
[cutile-matmul_tiled_simple] N=1024 iter=0 gpu_ms=0.861 tflops=2.495
[cutile-matmul_tiled_simple] N=1024 iter=1 gpu_ms=0.831 tflops=2.586
[cutile-matmul_tiled_simple] N=1024 iter=2 gpu_ms=0.828 tflops=2.594
[cutile-matmul_tiled_simple] N=1024 iter=3 gpu_ms=0.829 tflops=2.589
[cutile-matmul_tiled_simple] N=1024 iter=4 gpu_ms=0.829 tflops=2.591
[cutile-matmul_tiled_simple] N=1024 iter=5 gpu_ms=0.830 tflops=2.588
[cutile-matmul_tiled_simple] N=1024 iter=6 gpu_ms=0.848 tflops=2.532
[cutile-matmul_tiled_simple] N=1024 iter=7 gpu_ms=1.288 tflops=1.667
[cutile-matmul_tiled_simple] N=1024 iter=8 gpu_ms=0.828 tflops=2.593
[cutile-matmul_tiled_simple] N=1024 iter=9 gpu_ms=0.830 tflops=2.587
[cutile-matmul_tiled] N=2048 iter=0 gpu_ms=3.340 tflops=5.144
[cutile-matmul_tiled] N=2048 iter=1 gpu_ms=2.606 tflops=6.594
[cutile-matmul_tiled] N=2048 iter=2 gpu_ms=2.300 tflops=7.470
[cutile-matmul_tiled] N=2048 iter=3 gpu_ms=2.766 tflops=6.211
[cutile-matmul_tiled] N=2048 iter=4 gpu_ms=2.767 tflops=6.209
[cutile-matmul_tiled] N=2048 iter=5 gpu_ms=2.585 tflops=6.645
[cutile-matmul_tiled] N=2048 iter=6 gpu_ms=2.330 tflops=7.372
[cutile-matmul_tiled] N=2048 iter=7 gpu_ms=2.318 tflops=7.410
[cutile-matmul_tiled] N=2048 iter=8 gpu_ms=2.305 tflops=7.454
[cutile-matmul_tiled] N=2048 iter=9 gpu_ms=2.884 tflops=5.956
[cutile-matmul_tiled_simple] N=2048 iter=0 gpu_ms=6.456 tflops=2.661
[cutile-matmul_tiled_simple] N=2048 iter=1 gpu_ms=6.464 tflops=2.658
[cutile-matmul_tiled_simple] N=2048 iter=2 gpu_ms=6.476 tflops=2.653
[cutile-matmul_tiled_simple] N=2048 iter=3 gpu_ms=7.117 tflops=2.414
[cutile-matmul_tiled_simple] N=2048 iter=4 gpu_ms=7.167 tflops=2.397
[cutile-matmul_tiled_simple] N=2048 iter=5 gpu_ms=6.487 tflops=2.648
[cutile-matmul_tiled_simple] N=2048 iter=6 gpu_ms=6.449 tflops=2.664
[cutile-matmul_tiled_simple] N=2048 iter=7 gpu_ms=6.457 tflops=2.661
[cutile-matmul_tiled_simple] N=2048 iter=8 gpu_ms=7.132 tflops=2.409
[cutile-matmul_tiled_simple] N=2048 iter=9 gpu_ms=7.190 tflops=2.389
[cutile-matmul_tiled] N=4096 iter=0 gpu_ms=18.146 tflops=7.574
[cutile-matmul_tiled] N=4096 iter=1 gpu_ms=16.223 tflops=8.472
[cutile-matmul_tiled] N=4096 iter=2 gpu_ms=17.040 tflops=8.066
[cutile-matmul_tiled] N=4096 iter=3 gpu_ms=15.490 tflops=8.873
[cutile-matmul_tiled] N=4096 iter=4 gpu_ms=17.064 tflops=8.054
[cutile-matmul_tiled] N=4096 iter=5 gpu_ms=15.534 tflops=8.848
[cutile-matmul_tiled] N=4096 iter=6 gpu_ms=17.065 tflops=8.054
[cutile-matmul_tiled] N=4096 iter=7 gpu_ms=15.554 tflops=8.836
[cutile-matmul_tiled] N=4096 iter=8 gpu_ms=17.076 tflops=8.049
[cutile-matmul_tiled] N=4096 iter=9 gpu_ms=15.567 tflops=8.829
[cutile-matmul_tiled_simple] N=4096 iter=0 gpu_ms=53.573 tflops=2.565
[cutile-matmul_tiled_simple] N=4096 iter=1 gpu_ms=53.572 tflops=2.565
[cutile-matmul_tiled_simple] N=4096 iter=2 gpu_ms=54.045 tflops=2.543
[cutile-matmul_tiled_simple] N=4096 iter=3 gpu_ms=52.880 tflops=2.599
[cutile-matmul_tiled_simple] N=4096 iter=4 gpu_ms=54.855 tflops=2.505
[cutile-matmul_tiled_simple] N=4096 iter=5 gpu_ms=53.363 tflops=2.576
[cutile-matmul_tiled_simple] N=4096 iter=6 gpu_ms=53.368 tflops=2.575
[cutile-matmul_tiled_simple] N=4096 iter=7 gpu_ms=54.022 tflops=2.544
[cutile-matmul_tiled_simple] N=4096 iter=8 gpu_ms=52.902 tflops=2.598
[cutile-matmul_tiled_simple] N=4096 iter=9 gpu_ms=54.330 tflops=2.530
