impl,kernel,n,iter,gpu_ms,tflops
cutile,naive,1024,0,1.153824,1.861188
cutile,naive,1024,1,1.378048,1.558352
cutile,naive,1024,2,1.126592,1.906177
cutile,naive,1024,3,1.121504,1.914825
cutile,naive,1024,4,1.127392,1.904824
cutile,naive,1024,5,1.120448,1.916629
cutile,naive,1024,6,1.126752,1.905906
cutile,naive,1024,7,1.125280,1.908399
cutile,naive,1024,8,1.119968,1.917451
cutile,naive,1024,9,1.580224,1.358974
cutile,naive,2048,0,8.649760,1.986167
cutile,naive,2048,1,9.578400,1.793605
cutile,naive,2048,2,8.683968,1.978343
cutile,naive,2048,3,8.932640,1.923269
cutile,naive,2048,4,9.129728,1.881750
cutile,naive,2048,5,9.387648,1.830050
cutile,naive,2048,6,8.874240,1.935926
cutile,naive,2048,7,8.685216,1.978059
cutile,naive,2048,8,9.093728,1.889200
cutile,naive,2048,9,9.386016,1.830369
cutile,naive,4096,0,71.926178,1.910834
cutile,naive,4096,1,71.194145,1.930481
cutile,naive,4096,2,71.715683,1.916442
cutile,naive,4096,3,71.690018,1.917128
cutile,naive,4096,4,71.268188,1.928475
cutile,naive,4096,5,74.862877,1.835876
cutile,naive,4096,6,72.748573,1.889232
cutile,naive,4096,7,70.304352,1.954914
cutile,naive,4096,8,73.644867,1.866239
cutile,naive,4096,9,73.909027,1.859569
