impl,kernel,n,iter,gpu_ms,gbps
cutile,reduce_sum,1048576,0,0.036352,115.380278
cutile,reduce_sum,1048576,1,0.012896,325.240685
cutile,reduce_sum,1048576,2,0.005696,736.359542
cutile,reduce_sum,1048576,3,0.006752,621.194295
cutile,reduce_sum,1048576,4,0.005120,819.200021
cutile,reduce_sum,1048576,5,0.004992,840.205157
cutile,reduce_sum,1048576,6,0.004928,851.116917
cutile,reduce_sum,1048576,7,0.004992,840.205157
cutile,reduce_sum,1048576,8,0.006944,604.018451
cutile,reduce_sum,1048576,9,0.005024,834.853491
cutile,reduce_sum,16777216,0,0.040480,1657.827707
cutile,reduce_sum,16777216,1,0.026144,2566.893535
cutile,reduce_sum,16777216,2,0.027040,2481.836765
cutile,reduce_sum,16777216,3,0.027296,2458.560445
cutile,reduce_sum,16777216,4,0.027616,2430.071860
cutile,reduce_sum,16777216,5,0.027168,2470.143688
cutile,reduce_sum,16777216,6,0.026624,2520.615413
cutile,reduce_sum,16777216,7,0.027424,2447.085163
cutile,reduce_sum,16777216,8,0.027168,2470.143688
cutile,reduce_sum,16777216,9,0.026944,2490.679310
cutile,reduce_sum,268435456,0,0.657888,1632.104297
cutile,reduce_sum,268435456,1,0.635488,1689.633586
cutile,reduce_sum,268435456,2,0.647072,1659.385347
cutile,reduce_sum,268435456,3,0.634752,1691.592725
cutile,reduce_sum,268435456,4,0.636384,1687.254561
cutile,reduce_sum,268435456,5,0.633120,1695.953095
cutile,reduce_sum,268435456,6,0.640384,1676.715522
cutile,reduce_sum,268435456,7,1.013472,1059.468703
cutile,reduce_sum,268435456,8,0.648000,1657.008983
cutile,reduce_sum,268435456,9,0.638240,1682.348111
