impl,kernel,n,iter,gpu_ms,gbps
cutile,tile256,1048576,0,0.061408,204.906728
cutile,tile256,1048576,1,0.004992,2520.615472
cutile,tile256,1048576,2,0.034464,365.103047
cutile,tile256,1048576,3,0.005728,2196.737490
cutile,tile256,1048576,4,0.004416,2849.391241
cutile,tile256,1048576,5,0.005760,2184.533300
cutile,tile256,1048576,6,0.005664,2221.559392
cutile,tile256,1048576,7,0.004864,2586.947483
cutile,tile256,1048576,8,0.005536,2272.924946
cutile,tile256,1048576,9,0.005600,2246.948652
cutile,tile256,16777216,0,0.162240,1240.918354
cutile,tile256,16777216,1,0.110976,1814.145278
cutile,tile256,16777216,2,0.107424,1874.130501
cutile,tile256,16777216,3,0.104160,1932.858924
cutile,tile256,16777216,4,0.112096,1796.019464
cutile,tile256,16777216,5,0.104608,1924.581230
cutile,tile256,16777216,6,0.114144,1763.794825
cutile,tile256,16777216,7,0.106496,1890.461560
cutile,tile256,16777216,8,0.112320,1792.437632
cutile,tile256,16777216,9,0.108832,1849.884123
cutile,tile256,67108864,0,0.527552,1526.496639
cutile,tile256,67108864,1,0.515904,1560.961639
cutile,tile256,67108864,2,0.521312,1544.768527
cutile,tile256,67108864,3,0.515616,1561.833551
cutile,tile256,67108864,4,0.522816,1540.324635
cutile,tile256,67108864,5,0.521696,1543.631563
cutile,tile256,67108864,6,0.514560,1565.038854
cutile,tile256,67108864,7,0.519584,1549.906017
cutile,tile256,67108864,8,0.512448,1571.488908
cutile,tile256,67108864,9,0.513120,1569.430883
cutile,tile256,268435456,0,2.071104,1555.318031
cutile,tile256,268435456,1,2.051072,1570.508328
cutile,tile256,268435456,2,2.049024,1572.077880
cutile,tile256,268435456,3,2.085504,1544.578858
cutile,tile256,268435456,4,2.046080,1574.339857
cutile,tile256,268435456,5,2.054912,1567.573371
cutile,tile256,268435456,6,2.055488,1567.134082
cutile,tile256,268435456,7,2.050208,1571.170012
cutile,tile256,268435456,8,2.052768,1569.210687
cutile,tile256,268435456,9,2.050688,1570.802300
cutile,tile1024,1048576,0,0.041824,300.853851
cutile,tile1024,1048576,1,0.005120,2457.600062
cutile,tile1024,1048576,2,0.012864,978.149241
cutile,tile1024,1048576,3,0.005920,2125.491925
cutile,tile1024,1048576,4,0.004032,3120.761930
cutile,tile1024,1048576,5,0.004992,2520.615472
cutile,tile1024,1048576,6,0.005184,2427.259310
cutile,tile1024,1048576,7,0.006304,1996.020292
cutile,tile1024,1048576,8,0.004896,2570.039201
cutile,tile1024,1048576,9,0.005856,2148.721353
cutile,tile1024,16777216,0,0.138144,1457.367602
cutile,tile1024,16777216,1,0.110336,1824.668243
cutile,tile1024,16777216,2,0.110080,1828.911690
cutile,tile1024,16777216,3,0.102624,1961.788604
cutile,tile1024,16777216,4,0.118880,1693.527807
cutile,tile1024,16777216,5,0.130464,1543.158175
cutile,tile1024,16777216,6,0.131776,1527.794016
cutile,tile1024,16777216,7,0.113536,1773.240131
cutile,tile1024,16777216,8,0.115808,1738.451466
cutile,tile1024,16777216,9,0.118176,1703.616596
cutile,tile1024,67108864,0,0.522720,1540.607591
cutile,tile1024,67108864,1,0.522592,1540.984851
cutile,tile1024,67108864,2,0.521888,1543.063532
cutile,tile1024,67108864,3,0.520800,1546.287205
cutile,tile1024,67108864,4,0.537152,1499.215082
cutile,tile1024,67108864,5,0.529568,1520.685432
cutile,tile1024,67108864,6,0.510752,1576.707155
cutile,tile1024,67108864,7,0.513824,1567.280606
cutile,tile1024,67108864,8,0.544640,1478.603043
cutile,tile1024,67108864,9,0.554592,1452.069898
cutile,tile1024,268435456,0,2.246368,1433.970556
cutile,tile1024,268435456,1,2.058848,1564.576706
cutile,tile1024,268435456,2,2.049280,1571.881629
cutile,tile1024,268435456,3,2.054880,1567.597924
cutile,tile1024,268435456,4,2.100288,1533.706617
cutile,tile1024,268435456,5,2.051040,1570.532791
cutile,tile1024,268435456,6,2.056160,1566.622011
cutile,tile1024,268435456,7,2.059008,1564.455143
cutile,tile1024,268435456,8,2.091456,1540.183284
cutile,tile1024,268435456,9,2.104256,1530.814503
