impl,shape,kind,metric,value
oxide-attn-gdn-tma,correctness,correctness,max_abs_o,1.597553e-4
oxide-attn-gdn-tma,correctness,correctness,max_abs_S_out,2.412051e-4
oxide-attn-gdn-tma,qwen3_next_decode,correctness,max_abs_o,1.677275e-4
oxide-attn-gdn-tma,qwen3_next_decode,correctness,max_abs_S_out,1.584701e-4
oxide-attn-gdn-tma,qwen3_next_decode,bench,0,0.050336,167.305
oxide-attn-gdn-tma,qwen3_next_decode,bench,1,0.038656,217.856
oxide-attn-gdn-tma,qwen3_next_decode,bench,2,0.030816,273.281
oxide-attn-gdn-tma,qwen3_next_decode,bench,3,0.031008,271.589
oxide-attn-gdn-tma,qwen3_next_decode,bench,4,0.032256,261.081
oxide-attn-gdn-tma,qwen3_next_decode,bench,5,0.030272,278.192
oxide-attn-gdn-tma,qwen3_next_decode,bench,6,0.032000,263.170
oxide-attn-gdn-tma,qwen3_next_decode,bench,7,0.030560,275.571
oxide-attn-gdn-tma,qwen3_next_decode,bench,8,0.030656,274.708
oxide-attn-gdn-tma,qwen3_next_decode,bench,9,0.030880,272.715
oxide-attn-gdn-tma,qwen3_next_decode,bench,10,0.030592,275.282
oxide-attn-gdn-tma,qwen3_next_decode,bench,11,0.031040,271.309
oxide-attn-gdn-tma,qwen3_next_decode,bench,12,0.185824,45.319
oxide-attn-gdn-tma,qwen3_next_decode,bench,13,0.031744,265.292
oxide-attn-gdn-tma,qwen3_next_decode,bench,14,0.030752,273.850
oxide-attn-gdn-tma,qwen3_next_decode,bench,15,0.032160,261.861
oxide-attn-gdn-tma,qwen3_next_decode,bench,16,0.032544,258.771
oxide-attn-gdn-tma,qwen3_next_decode,bench,17,0.031264,269.365
oxide-attn-gdn-tma,qwen3_next_decode,bench,18,0.038688,217.676
oxide-attn-gdn-tma,qwen3_next_decode,bench,19,0.030624,274.995
oxide-attn-gdn-tma,qwen3_next_decode,bench,20,0.031200,269.918
oxide-attn-gdn-tma,qwen3_next_decode,bench,21,0.031808,264.759
oxide-attn-gdn-tma,qwen3_next_decode,bench,22,0.030336,277.605
oxide-attn-gdn-tma,qwen3_next_decode,bench,23,0.031520,267.178
oxide-attn-gdn-tma,qwen3_next_decode,bench,24,0.030880,272.715
oxide-attn-gdn-tma,qwen3_next_decode,bench,25,0.030688,274.421
oxide-attn-gdn-tma,qwen3_next_decode,bench,26,0.031712,265.560
oxide-attn-gdn-tma,qwen3_next_decode,bench,27,0.031200,269.918
oxide-attn-gdn-tma,qwen3_next_decode,bench,28,0.031200,269.918
oxide-attn-gdn-tma,qwen3_next_decode,bench,29,0.031232,269.641
oxide-attn-gdn-tma,qwen3_next_decode,bench,30,0.031712,265.560
oxide-attn-gdn-tma,qwen3_next_decode,bench,31,0.030976,271.870
oxide-attn-gdn-tma,qwen3_next_decode,bench,32,0.032096,262.383
oxide-attn-gdn-tma,qwen3_next_decode,bench,33,0.030560,275.571
oxide-attn-gdn-tma,qwen3_next_decode,bench,34,0.031008,271.589
oxide-attn-gdn-tma,qwen3_next_decode,bench,35,0.030368,277.313
oxide-attn-gdn-tma,qwen3_next_decode,bench,36,0.032576,258.517
oxide-attn-gdn-tma,qwen3_next_decode,bench,37,0.031872,264.227
oxide-attn-gdn-tma,qwen3_next_decode,bench,38,0.030656,274.708
oxide-attn-gdn-tma,qwen3_next_decode,bench,39,0.032384,260.049
oxide-attn-gdn-tma,qwen3_next_decode,bench,40,0.030912,272.433
oxide-attn-gdn-tma,qwen3_next_decode,bench,41,0.030560,275.571
oxide-attn-gdn-tma,qwen3_next_decode,bench,42,0.031040,271.309
oxide-attn-gdn-tma,qwen3_next_decode,bench,43,0.031904,263.962
oxide-attn-gdn-tma,qwen3_next_decode,bench,44,0.030816,273.281
oxide-attn-gdn-tma,qwen3_next_decode,bench,45,0.030848,272.998
oxide-attn-gdn-tma,qwen3_next_decode,bench,46,0.038656,217.856
oxide-attn-gdn-tma,qwen3_next_decode,bench,47,0.030592,275.282
oxide-attn-gdn-tma,qwen3_next_decode,bench,48,0.032448,259.536
oxide-attn-gdn-tma,qwen3_next_decode,bench,49,0.031136,270.473
oxide-attn-gdn-tma,qwen3_next_decode,bench_summary,best_ms,0.030272
oxide-attn-gdn-tma,qwen3_next_decode,bench_summary,best_gbps,278.192
oxide-attn-gdn-tma,qwen3_next_decode,bench_summary,median_gbps,269.918
oxide-attn-gdn-tma,qwen3_next_decode,bench_summary,mean_gbps,239.577
