impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
oxide-tiled,safe,1024,0,0.246272,0.660055,8.719967
oxide-tiled,safe,1024,1,0.265088,0.347632,8.101022
oxide-tiled,safe,1024,2,0.242784,0.293252,8.845244
oxide-tiled,safe,1024,3,0.243264,0.287294,8.827790
oxide-tiled,safe,1024,4,0.242592,0.294467,8.852244
oxide-tiled,safe,1024,5,0.250560,0.295557,8.570737
oxide-tiled,safe,1024,6,0.241120,0.313243,8.906286
oxide-tiled,safe,1024,7,0.242752,0.329810,8.846410
oxide-tiled,safe,1024,8,0.248512,0.614644,8.641368
oxide-tiled,safe,1024,9,0.240000,0.896350,8.947849
oxide-tiled,unchecked,1024,0,0.322848,0.770036,6.651687
oxide-tiled,unchecked,1024,1,0.233664,0.442331,9.190477
oxide-tiled,unchecked,1024,2,0.361600,1.161620,5.938837
oxide-tiled,unchecked,1024,3,0.237536,0.368362,9.040666
oxide-tiled,unchecked,1024,4,0.235872,0.577232,9.104445
oxide-tiled,unchecked,1024,5,0.233248,0.345106,9.206869
oxide-tiled,unchecked,1024,6,0.284928,0.393500,7.536935
oxide-tiled,unchecked,1024,7,0.338208,0.377850,6.349595
oxide-tiled,unchecked,1024,8,0.236320,0.282563,9.087185
oxide-tiled,unchecked,1024,9,0.238080,0.346444,9.020009
oxide-tiled,safe,2048,0,3.092448,3.257175,5.555427
oxide-tiled,safe,2048,1,4.033952,4.106877,4.258818
oxide-tiled,safe,2048,2,2.245888,2.343986,7.649477
oxide-tiled,safe,2048,3,1.814112,1.891305,9.470126
oxide-tiled,safe,2048,4,3.395840,3.578717,5.059093
oxide-tiled,safe,2048,5,2.514816,2.650592,6.831462
oxide-tiled,safe,2048,6,3.214432,3.525175,5.344605
oxide-tiled,safe,2048,7,2.703072,3.000861,6.355683
oxide-tiled,safe,2048,8,1.779616,1.950802,9.653695
oxide-tiled,safe,2048,9,3.450400,3.776670,4.979095
oxide-tiled,unchecked,2048,0,2.569184,3.012925,6.686897
oxide-tiled,unchecked,2048,1,2.601664,2.713015,6.603416
oxide-tiled,unchecked,2048,2,3.495136,3.580784,4.915365
oxide-tiled,unchecked,2048,3,2.033984,2.124047,8.446413
oxide-tiled,unchecked,2048,4,2.324608,2.711509,7.390437
oxide-tiled,unchecked,2048,5,2.725280,3.921070,6.303891
oxide-tiled,unchecked,2048,6,1.842304,2.060778,9.325209
oxide-tiled,unchecked,2048,7,4.299712,4.450328,3.995586
oxide-tiled,unchecked,2048,8,1.750880,1.843482,9.812134
oxide-tiled,unchecked,2048,9,3.545792,3.671986,4.845143
oxide-tiled,safe,4096,0,17.925472,18.103948,7.667243
oxide-tiled,safe,4096,1,17.671488,17.739681,7.777441
oxide-tiled,safe,4096,2,17.991199,18.015815,7.639232
oxide-tiled,safe,4096,3,17.703457,17.876705,7.763396
oxide-tiled,safe,4096,4,18.035904,18.060666,7.620297
oxide-tiled,safe,4096,5,17.447647,17.477733,7.877220
oxide-tiled,safe,4096,6,17.877760,17.911018,7.687706
oxide-tiled,safe,4096,7,17.752289,17.779120,7.742041
oxide-tiled,safe,4096,8,18.211391,18.245695,7.546867
oxide-tiled,safe,4096,9,16.961952,17.020503,8.102779
oxide-tiled,unchecked,4096,0,16.120129,16.160727,8.525922
oxide-tiled,unchecked,4096,1,17.294687,17.384563,7.946889
oxide-tiled,unchecked,4096,2,17.714848,17.760485,7.758405
oxide-tiled,unchecked,4096,3,16.656193,16.931322,8.251523
oxide-tiled,unchecked,4096,4,16.804319,16.993171,8.178787
oxide-tiled,unchecked,4096,5,18.154943,18.269474,7.570332
oxide-tiled,unchecked,4096,6,16.800064,16.868113,8.180859
oxide-tiled,unchecked,4096,7,17.871040,18.129393,7.690596
oxide-tiled,unchecked,4096,8,17.648993,17.740247,7.787354
oxide-tiled,unchecked,4096,9,16.771423,16.844910,8.194829
