impl,kernel,N_elems,iter,gpu_ms,GB_per_s
oxide,reduce_sum,1048576,0,0.010016,418.760388
oxide,reduce_sum,1048576,1,0.008416,498.372634
oxide,reduce_sum,1048576,2,0.009152,458.293714
oxide,reduce_sum,1048576,3,0.017152,244.537310
oxide,reduce_sum,1048576,4,0.009280,451.972420
oxide,reduce_sum,1048576,5,0.009152,458.293714
oxide,reduce_sum,1048576,6,0.007744,541.619847
oxide,reduce_sum,1048576,7,0.009888,424.181236
oxide,reduce_sum,1048576,8,0.008896,471.482028
oxide,reduce_sum,1048576,9,0.021024,199.500762
oxide,reduce_sum,16777216,0,0.017216,3898.051885
oxide,reduce_sum,16777216,1,0.017152,3912.596965
oxide,reduce_sum,16777216,2,0.017760,3778.652410
oxide,reduce_sum,16777216,3,0.016352,4104.015727
oxide,reduce_sum,16777216,4,0.016096,4169.288367
oxide,reduce_sum,16777216,5,0.042176,1591.162338
oxide,reduce_sum,16777216,6,0.017216,3898.051885
oxide,reduce_sum,16777216,7,0.015808,4245.247152
oxide,reduce_sum,16777216,8,0.015904,4219.621723
oxide,reduce_sum,16777216,9,0.033312,2014.555215
oxide,reduce_sum,268435456,0,0.707136,1518.437559
oxide,reduce_sum,268435456,1,0.705856,1521.190987
oxide,reduce_sum,268435456,2,0.705920,1521.053169
oxide,reduce_sum,268435456,3,0.712704,1506.574707
oxide,reduce_sum,268435456,4,0.745920,1439.486568
oxide,reduce_sum,268435456,5,0.715488,1500.712519
oxide,reduce_sum,268435456,6,0.723232,1484.643747
oxide,reduce_sum,268435456,7,0.706208,1520.432844
oxide,reduce_sum,268435456,8,0.715808,1500.041719
oxide,reduce_sum,268435456,9,0.708192,1516.173351
