impl,kernel,N_elems,iter,gpu_ms,GB_per_s
oxide,safe,1048576,0,0.005952,2114.064462
oxide,safe,1048576,1,0.005888,2137.043431
oxide,safe,1048576,2,0.004288,2934.447724
oxide,safe,1048576,3,0.005344,2354.586747
oxide,safe,1048576,4,0.005888,2137.043431
oxide,safe,1048576,5,0.004128,3048.186218
oxide,safe,1048576,6,0.004512,2788.766021
oxide,safe,1048576,7,0.005696,2209.078626
oxide,safe,1048576,8,0.003936,3196.877912
oxide,safe,1048576,9,0.004576,2749.762286
oxide,unchecked,1048576,0,0.045376,277.303250
oxide,unchecked,1048576,1,0.005440,2313.035303
oxide,unchecked,1048576,2,0.006080,2069.557828
oxide,unchecked,1048576,3,0.005120,2457.600062
oxide,unchecked,1048576,4,0.005920,2125.491925
oxide,unchecked,1048576,5,0.004192,3001.649006
oxide,unchecked,1048576,6,0.005696,2209.078626
oxide,unchecked,1048576,7,0.005920,2125.491925
oxide,unchecked,1048576,8,0.004256,2956.511409
oxide,unchecked,1048576,9,0.005728,2196.737490
oxide,safe,16777216,0,0.115392,1744.718810
oxide,safe,16777216,1,0.107168,1878.607407
oxide,safe,16777216,2,0.106176,1896.159197
oxide,safe,16777216,3,0.114304,1761.325889
oxide,safe,16777216,4,0.107968,1864.687567
oxide,safe,16777216,5,0.114560,1757.389935
oxide,safe,16777216,6,0.114784,1753.960377
oxide,safe,16777216,7,0.117024,1720.387247
oxide,safe,16777216,8,0.118944,1692.616673
oxide,safe,16777216,9,0.118752,1695.353235
oxide,unchecked,16777216,0,0.118272,1702.233780
oxide,unchecked,16777216,1,0.117056,1719.916935
oxide,unchecked,16777216,2,0.114880,1752.494661
oxide,unchecked,16777216,3,0.118720,1695.810207
oxide,unchecked,16777216,4,0.121184,1661.329828
oxide,unchecked,16777216,5,0.120608,1669.263969
oxide,unchecked,16777216,6,0.138784,1450.646926
oxide,unchecked,16777216,7,0.129568,1553.829640
oxide,unchecked,16777216,8,0.124288,1619.839339
oxide,unchecked,16777216,9,0.120320,1673.259578
oxide,safe,67108864,0,0.509632,1580.172324
oxide,safe,67108864,1,0.509344,1581.065835
oxide,safe,67108864,2,0.510784,1576.608537
oxide,safe,67108864,3,0.514976,1563.774486
oxide,safe,67108864,4,0.515072,1563.483137
oxide,safe,67108864,5,0.519872,1549.047367
oxide,safe,67108864,6,0.514208,1566.110093
oxide,safe,67108864,7,0.510240,1578.289313
oxide,safe,67108864,8,0.510880,1576.312203
oxide,safe,67108864,9,0.511040,1575.818745
oxide,unchecked,67108864,0,0.528864,1522.709673
oxide,unchecked,67108864,1,0.509408,1580.867149
oxide,unchecked,67108864,2,0.510080,1578.784504
oxide,unchecked,67108864,3,0.508864,1582.557208
oxide,unchecked,67108864,4,0.511744,1573.650757
oxide,unchecked,67108864,5,0.551776,1459.480622
oxide,unchecked,67108864,6,0.510592,1577.201354
oxide,unchecked,67108864,7,0.518528,1553.062500
oxide,unchecked,67108864,8,0.508960,1582.258634
oxide,unchecked,67108864,9,0.507392,1587.148369
oxide,safe,268435456,0,2.235136,1441.176477
oxide,safe,268435456,1,2.049696,1571.562574
oxide,safe,268435456,2,2.080096,1548.594614
oxide,safe,268435456,3,2.043104,1576.633190
oxide,safe,268435456,4,2.063424,1561.106830
oxide,safe,268435456,5,2.049216,1571.930642
oxide,safe,268435456,6,2.072128,1554.549421
oxide,safe,268435456,7,2.047680,1573.109874
oxide,safe,268435456,8,2.047200,1573.478667
oxide,safe,268435456,9,2.043584,1576.262733
oxide,unchecked,268435456,0,2.039712,1579.255085
oxide,unchecked,268435456,1,2.048416,1572.544654
oxide,unchecked,268435456,2,2.044288,1575.720054
oxide,unchecked,268435456,3,2.036864,1581.463173
oxide,unchecked,268435456,4,2.049088,1572.028859
oxide,unchecked,268435456,5,2.046144,1574.290694
oxide,unchecked,268435456,6,2.039392,1579.502852
oxide,unchecked,268435456,7,2.051520,1570.165195
oxide,unchecked,268435456,8,2.275808,1415.420517
oxide,unchecked,268435456,9,2.043008,1576.707155
